genre,key
deep liquid,5.71428571429
kompa,4.92
new age piano,4.92
heavy alternative,5.22448979592
jumpstyle,4.48
electropunk,5.38
classic czech pop,4.41860465116
stomp and whittle,5.3
slovak hip hop,5.88888888889
beats,5.12244897959
brutal deathcore,5.22
finnish indie,5.22916666667
makossa,6.57142857143
qawwali,4.56
kwaito house,5.10204081633
witch house,5.4693877551
j-ambient,4.2
atmospheric post rock,3.98
zillertal,3.97826086957
gothic alternative,5.42
funk carioca,5.52083333333
latvian pop,5.97872340426
crust punk,5.0
oshare kei,5.3125
blackgaze,5.36734693878
psych gaze,6.44897959184
grunge pop,4.51020408163
orquesta tropical,6.08163265306
ghazal,5.34
classic venezuelan pop,4.95918367347
rva indie,5.62
irish indie,5.72
denver indie,4.7
world chill,5.26530612245
deep gothic post-punk,4.82
ethiopian pop,5.79591836735
deep rai,4.84782608696
electro dub,5.89130434783
traditional ska,5.58
hungarian hip hop,5.71111111111
fake,3.7
beatdown,5.16
deep acoustic pop,5.08163265306
drone folk,4.61224489796
canadian hip hop,5.55102040816
louisville indie,5.02
dirty texas rap,4.71428571429
neofolk,4.75510204082
neo-rockabilly,5.28
judaica,5.52
deep flow,5.15789473684
japanese psychedelic,5.78
ragtime,3.95918367347
anarcho-punk,5.1
workout,4.82
austrian hip hop,6.08333333333
guidance,4.9
traditional british folk,4.79591836735
calypso,4.42
orquesta tipica,5.16
swiss hip hop,5.47916666667
geek rock,5.30612244898
deep adult standards,5.08
blaskapelle,4.55319148936
classic french pop,5.52
nwothm,4.79591836735
deep smooth jazz,5.32
deep dance pop,5.48979591837
dark black metal,5.95918367347
abstract,6.20833333333
tone,5.39583333333
neo-synthpop,3.88
minimal melodic techno,4.42553191489
nerdcore,4.98
ukulele,3.68
kurdish folk,5.4693877551
ukrainian rock,5.48979591837
kayokyoku,5.12244897959
new beat,6.58333333333
lithumania,5.52083333333
modern southern rock,5.98
euroska,6.35416666667
k-rock,5.0
classic soundtrack,4.38
zouglou,6.63265306122
australian indie,5.02
indie emo,5.69387755102
lo star,4.12
atmospheric post-metal,5.44
broken beat,4.76
acousmatic,6.16
minimal wave,5.89795918367
solipsynthm,5.79591836735
swedish prog,5.26
alternative americana,4.02040816327
darkstep,5.26530612245
nl folk,5.5
marching band,5.51020408163
lounge house,4.59574468085
semba,5.47916666667
underground power pop,5.32
psychedelic blues-rock,5.5
crack rock steady,6.24
vegan straight edge,5.30612244898
motivation,4.22
schranz,5.32653061224
traditional swing,5.25
chalga,4.95918367347
musiikkia lapsille,4.58695652174
footwork,5.6
breakcore,6.18367346939
yoik,5.20833333333
leeds indie,4.5306122449
tribute,5.38775510204
funky breaks,6.36734693878
indian classical,5.41666666667
didgeridoo,5.68085106383
classic dutch pop,3.73469387755
slc indie,5.5
deep contemporary country,5.67346938776
danish indie,6.02083333333
belgian indie,5.375
jazz brass,5.22448979592
deep brazilian pop,4.63829787234
corrosion,6.24
black death,4.68
japanese jazztronica,5.4
electro trash,5.63265306122
classic afrobeat,5.14
gothic americana,5.04081632653
slavic metal,4.64
dark hardcore,5.4347826087
scratch,5.73469387755
traditional scottish folk,5.73469387755
hebrew pop,4.44
garage punk blues,4.42
hindustani classical,5.41666666667
indie singer-songwriter,5.0
deep german punk,4.60869565217
deep disco,5.3
electronicore,5.26530612245
zydeco,4.92
usbm,5.72
string folk,5.18367346939
beach music,5.69565217391
luk thung,4.65306122449
michigan indie,4.56
south african jazz,5.9
islamic recitation,4.67346938776
spanish invasion,4.6875
russian alternative,5.83333333333
deep orchestral,5.59574468085
mallet,5.125
dark ambient,4.9387755102
ragga jungle,5.95833333333
progressive alternative,6.02
fast melodic punk,5.4347826087
martial industrial,5.76315789474
deep discofox,6.28571428571
enka,5.20833333333
kwaito,4.59183673469
porro,6.4
power violence,5.78
finnish hardcore,4.93181818182
neurostep,5.0625
classic russian pop,5.75510204082
vapor house,4.20408163265
deep melodic hard rock,4.79591836735
downtempo fusion,4.9
ostrock,6.10869565217
spanish classical,5.82978723404
monastic,5.18367346939
string band,5.14
ambient psychill,5.63265306122
faroese pop,4.97959183673
musica per bambini,3.83333333333
rebetiko,5.3125
romanian rock,5.04255319149
panpipe,3.70833333333
afrikaans,4.66666666667
abstract idm,4.14285714286
deep psychobilly,5.86
ugandan pop,6.24
bass trip,5.44
power electronics,5.98
french punk,5.67346938776
library music,4.85714285714
j-reggae,5.60869565217
russian folk,4.66
musique pour enfants,5.14285714286
hard house,5.375
concert piano,4.40816326531
trash rock,6.125
wind ensemble,4.16
deep liquid bass,5.53191489362
deep jazz guitar,5.04081632653
norwegian jazz,5.4358974359
neo metal,6.0612244898
gospel reggae,4.70833333333
traditional soul,4.82
persian traditional,5.02
coupe decale,5.81632653061
italian progressive rock,4.85714285714
manele,4.97872340426
