genre,danceability
flare.genre.deep regional mexican,0.74158
flare.genre.spanish pop rock,0.594285714286
flare.genre.modern classical,0.286170454545
flare.genre.swedish eurodance,0.68484
flare.genre.contemporary post-bop,0.48258
flare.genre.minimal techno,0.71958
flare.genre.irish rock,0.4935
flare.genre.dutch house,0.642553191489
flare.genre.turkish rock,0.628
flare.genre.easy listening,0.486
flare.genre.swedish hip hop,0.60126
flare.genre.danspunk,0.563244897959
flare.genre.australian pop,0.60142
flare.genre.indonesian pop,0.55376
flare.genre.canadian indie,0.559204081633
flare.genre.wrestling,0.503040816327
flare.genre.microhouse,0.629795918367
flare.genre.hip house,0.78862
flare.genre.cumbia villera,0.720142857143
flare.genre.west coast trap,0.73912
flare.genre.texas blues,0.53976
flare.genre.celtic rock,0.50654
flare.genre.broadway,0.56566
flare.genre.pinoy alternative,0.57926
flare.genre.french indietronica,0.68016
flare.genre.blues,0.57858
flare.genre.acid jazz,0.660956521739
flare.genre.anthem emo,0.497755102041
flare.genre.chillstep,0.51694
flare.genre.movie tunes,0.4498
flare.genre.tech house,0.7393
flare.genre.uk funky,0.65712244898
flare.genre.norwegian indie,0.578265306122
flare.genre.progressive bluegrass,0.53982
flare.genre.classic swedish pop,0.523395833333
flare.genre.traditional blues,0.61324
flare.genre.soul jazz,0.49574
flare.genre.stoner rock,0.3884
flare.genre.melodic hardcore,0.4422
flare.genre.experimental rock,0.4708
flare.genre.turntablism,0.7354
flare.genre.norwegian pop,0.55518
flare.genre.minimal dub,0.66412244898
flare.genre.fourth world,0.22728125
flare.genre.electro,0.70178
flare.genre.swing,0.49236
flare.genre.latin christian,0.50588
flare.genre.dreamo,0.43554
flare.genre.indie jazz,0.58086
flare.genre.rock gaucho,0.55886
flare.genre.french rock,0.627040816327
flare.genre.post-hardcore,0.42702
flare.genre.epicore,0.340677083333
flare.genre.azontobeats,0.76124
flare.genre.zapstep,0.57808
flare.genre.deep chiptune,0.50496
flare.genre.sheffield indie,0.4746
flare.genre.uplifting trance,0.53468
flare.genre.noise rock,0.478787234043
flare.genre.progressive post-hardcore,0.41706
flare.genre.hard bop,0.48098
flare.genre.antiviral pop,0.585918367347
flare.genre.aussietronica,0.57396
flare.genre.indie punk,0.42414
flare.genre.death core,0.432083333333
flare.genre.electro latino,0.73404
flare.genre.ambient,0.20785625
flare.genre.reggae rock,0.73016
flare.genre.country blues,0.57664
flare.genre.anime,0.4645
flare.genre.deep funk,0.67196
flare.genre.new age,0.327968
flare.genre.french reggae,0.757088888889
flare.genre.j-pop,0.56572
flare.genre.groove room,0.73844
flare.genre.lovers rock,0.79162
flare.genre.deep melodic euro house,0.76088
flare.genre.death metal,0.3582
flare.genre.nu disco,0.686265306122
flare.genre.indie rockism,0.559306122449
flare.genre.electro swing,0.748530612245
flare.genre.country gospel,0.626
flare.genre.neo classical metal,0.41154
flare.genre.mexican indie,0.597346938776
flare.genre.uk garage,0.700428571429
flare.genre.gothic metal,0.4562
flare.genre.stride,0.47854
flare.genre.industrial,0.55362
flare.genre.canadian metal,0.4668
flare.genre.future funk,0.64426
flare.genre.christian uplift,0.45094
flare.genre.brazilian gospel,0.434291666667
flare.genre.german metal,0.511
flare.genre.swedish indie pop,0.56002
flare.genre.gauze pop,0.59596
flare.genre.turkish jazz,0.57014
flare.genre.christian hip hop,0.70493877551
