genre,valence
neue deutsche welle,0.745114285714
swiss rock,0.441296
zouk,0.72008
deep melodic metalcore,0.24869
sega,0.730081632653
mod revival,0.68932
pakistani pop,0.518897959184
deep soul house,0.52388
french folk pop,0.6684375
deep christian rock,0.349594
c86,0.601028
rio de la plata,0.7303125
native american,0.383875510204
college a cappella,0.391004
uk dub,0.663510204082
jazz bass,0.50009
miami bass,0.642086
ambient idm,0.15811
polish reggae,0.654855102041
nordic folk,0.213634
hauntology,0.246296
vienna indie,0.416229166667
swamp pop,0.7094
modern uplift,0.500625
catalan folk,0.5791625
chanson quebecois,0.552645833333
girl group,0.61002
brazilian composition,0.315710416667
digital hardcore,0.401673469388
hip hop tuga,0.521936170213
hip hop quebecois,0.5335
deep neofolk,0.417493877551
vintage french electronic,0.445348979592
samba-enredo,0.81402173913
vocaloid,0.439093877551
italian jazz,0.22861
croatian pop,0.617208333333
spanish folk,0.58534
hard minimal techno,0.244212244898
vintage tango,0.59632
desert blues,0.5648
garage punk,0.44714
bounce,0.588136363636
hiplife,0.748770833333
mexican son,0.7431875
german oi,0.532693877551
classical guitar,0.316495918367
drumfunk,0.311893877551
czech hip hop,0.463152173913
appalachian folk,0.639724489796
vietnamese pop,0.40594
balkan brass,0.6894
free improvisation,0.351161702128
riot grrrl,0.595
rosary,0.2655
electronica,0.38328
underground latin hip hop,0.678395833333
karneval,0.687468085106
serialism,0.0965625
cante flamenco,0.515276595745
tico,0.576326530612
boogie-woogie,0.72288
morna,0.63684
ecuadoria,0.637102040816
traditional rock 'n roll,0.607514
estonian pop,0.431744
tin pan alley,0.412232
german show tunes,0.3301475
disco polo,0.77142
portuguese pop,0.803065217391
mbalax,0.681055102041
harpsichord,0.247324
deep soundtrack,0.055196
polish indie,0.588569387755
cyber metal,0.313106122449
kids dance party,0.722046
metal guitar,0.389898
thrash core,0.38782
outsider,0.541020408163
full on,0.23475
composition d,0.070825
deep liquid,0.258648979592
kompa,0.74844
new age piano,0.173504
heavy alternative,0.418979591837
jumpstyle,0.351518
electropunk,0.540798
classic czech pop,0.498553488372
stomp and whittle,0.48506
slovak hip hop,0.494844444444
beats,0.545697959184
brutal deathcore,0.158636
finnish indie,0.43849375
makossa,0.810367346939
qawwali,0.51526
kwaito house,0.543657142857
witch house,0.253853061224
j-ambient,0.269971428571
atmospheric post rock,0.12937
zillertal,0.911826086957
gothic alternative,0.485824
funk carioca,0.756208333333
latvian pop,0.538085106383
crust punk,0.35083
oshare kei,0.538270833333
blackgaze,0.136032653061
psych gaze,0.432293877551
grunge pop,0.449204081633
orquesta tropical,0.827551020408
ghazal,0.60872
classic venezuelan pop,0.707224489796
rva indie,0.462386
irish indie,0.417602
denver indie,0.51532
world chill,0.340165306122
deep gothic post-punk,0.478046
ethiopian pop,0.707448979592
deep rai,0.777173913043
electro dub,0.524432608696
traditional ska,0.8384
hungarian hip hop,0.635311111111
fake,0.61822
beatdown,0.333266
deep acoustic pop,0.350024489796
drone folk,0.273132653061
canadian hip hop,0.596653061224
louisville indie,0.375866
dirty texas rap,0.530589795918
neofolk,0.279120408163
neo-rockabilly,0.709592
judaica,0.42086
deep flow,0.549157894737
japanese psychedelic,0.38059
ragtime,0.687830612245
anarcho-punk,0.41422
workout,0.69964
austrian hip hop,0.484366666667
guidance,0.345256
traditional british folk,0.408208163265
calypso,0.74928
orquesta tipica,0.66888
swiss hip hop,0.571625
geek rock,0.792408163265
deep adult standards,0.63588
blaskapelle,0.733361702128
classic french pop,0.68548
nwothm,0.362181632653
deep smooth jazz,0.630348
deep dance pop,0.556387755102
dark black metal,0.100793877551
abstract,0.257902083333
tone,0.0554208333333
neo-synthpop,0.596142
minimal melodic techno,0.291685106383
nerdcore,0.66561
ukulele,0.58808
kurdish folk,0.648489795918
ukrainian rock,0.49366122449
kayokyoku,0.452448979592
new beat,0.513520833333
lithumania,0.458645833333
modern southern rock,0.53492
euroska,0.823208333333
k-rock,0.5292
classic soundtrack,0.371024
zouglou,0.822
australian indie,0.55764
indie emo,0.515648979592
lo star,0.437764
atmospheric post-metal,0.211682
broken beat,0.64917
acousmatic,0.145587755102
minimal wave,0.521079591837
solipsynthm,0.5627
swedish prog,0.30682
