genre,loudness
alternative ccm,-6.9509375
folklore argentino,-11.118
kiwi rock,-7.45278
alternative pop,-7.5835
grave wave,-7.26298
swamp blues,-9.339
electro jazz,-8.90408
rock steady,-9.3838
slow game,-7.24504
j-metal,-3.6547
post-metal,-7.9987755102
techno,-9.98646
no wave,-10.10078
russian pop,-6.38052
stomp and flutter,-12.27456
portland indie,-7.77563265306
dutch rock,-8.36542857143
doom metal,-7.12982
modern performance,-22.53812
pagan black metal,-5.70927083333
black metal,-6.43696
jump up,-4.10328
pop flamenco,-6.61426530612
hard alternative,-4.44346
christian metal,-4.15688
kirtan,-16.16138
neurofunk,-4.19932
polish hip hop,-7.92832653061
drift,-23.94356
dark jazz,-15.35234
peruvian rock,-7.3139
deathgrind,-4.76886
italian indie pop,-7.32396
ectofolk,-9.17554
symphonic black metal,-5.76484
classic italian pop,-11.08894
turkish hip hop,-7.39391666667
cuban rumba,-8.30452
brega,-8.61755102041
deep norteno,-4.68446938776
happy hardcore,-3.46784
carnaval,-5.69861702128
belgian rock,-7.6756
chicago house,-6.54834
medieval rock,-5.80685714286
irish folk,-8.806
jungle,-3.81062
chamame,-6.78422
scottish rock,-6.81846
rap chileno,-6.1286
classic chinese pop,-9.70068
dark wave,-8.02106
progressive uplifting trance,-7.7072
orgcore,-4.61373333333
austindie,-7.58442
idol,-6.24258
chicago indie,-7.29226
medieval,-12.2579
avant-garde jazz,-14.3701
eurovision,-6.13581632653
bay area indie,-7.2366
romantico,-12.7419
western swing,-12.69334
russian rock,-6.42666
japanese city pop,-6.2996
new orleans jazz,-13.05794
j-idol,-2.99082
italian disco,-8.3686
harmonica blues,-11.10628
arab pop,-6.93912
puerto rican rock,-6.55932653061
dubstep,-4.52696
classic finnish pop,-7.95524444444
malaysian pop,-9.16744897959
outsider house,-11.60982
mexican rock-and-roll,-9.4026
portuguese rock,-8.09028571429
post-doom metal,-7.76722
colombian rock,-6.3205
sertanejo tradicional,-5.68575510204
brutal death metal,-5.10718
soul flow,-7.51162
salsa international,-8.04767346939
seattle indie,-8.28566
avantgarde metal,-6.69122
hardcore,-5.10428
nasheed,-11.6395918367
gbvfi,-8.0261
psychedelic doom,-6.9081
celtic punk,-4.91834
grindcore,-5.40946938776
quebecois,-8.0134
austropop,-7.2565
brazilian ccm,-8.47555102041
funky tech house,-6.6227
riddim,-5.58730612245
psychedelic trance,-7.63854
speed garage,-7.64583333333
baile funk,-4.27446938776
classic russian rock,-6.62836734694
freestyle,-9.06072340426
j-poprock,-4.60114
italian pop rock,-5.18151020408
ebm,-6.98708
math pop,-7.70602
barnmusik,-15.6351836735
spanish noise pop,-7.67004166667
warm drone,-24.3195306122
soca,-5.48468
nursery,-14.30516
ethereal wave,-10.6973
nintendocore,-5.4489
african gospel,-6.59524
garage pop,-5.5839
world meditation,-20.83812
destroy techno,-6.40706
balearic,-8.4347755102
progressive deathcore,-4.00522
math rock,-8.18108333333
laiko,-5.82722
acid house,-10.5215918367
albuquerque indie,-7.16392
mande pop,-10.22862
polish punk,-8.62479166667
russiavision,-5.92782
deep latin christian,-7.42054
indie dream pop,-9.20552
kindermusik,-7.40336363636
emo punk,-6.32014634146
entehno,-6.24946
bassline,-5.54954
k-indie,-6.25712
classic finnish rock,-8.39777083333
substep,-9.79318
electrofox,-11.09646
drill and bass,-11.7418163265
turbo folk,-4.01889795918
british alternative rock,-3.7787
ambeat,-8.4366
ska revival,-8.26875510204
deep minimal techno,-8.60673333333
bmore,-6.16357142857
british indie rock,-6.10114
canterbury scene,-14.0928
musica para ninos,-11.48318
romanian pop,-5.51904
chill lounge,-10.9967755102
rock catala,-8.29504255319
free jazz,-14.61634
argentine indie,-7.56979591837
deep comedy,-8.28974
twee pop,-8.03906
classic garage rock,-9.72685714286
volksmusik,-7.789
post-post-hardcore,-4.17646
electro-industrial,-6.44304
gypsy jazz,-11.6287
oi,-7.0068
latin electronica,-6.69728
straight edge,-5.35214
christian hardcore,-4.68668
kabarett,-13.4781702128
kraut rock,-18.3908
steampunk,-7.28348
singaporean pop,-7.28746938776
swedish hard rock,-6.53597959184
world fusion,-10.29734
slovak pop,-6.32389795918
dansktop,-8.44324489796
surf music,-10.05272
thai idol,-6.64476
gabba,-4.08204166667
gothic rock,-8.3827755102
chaotic hardcore,-4.2213
nu age,-23.12974
bhangra,-5.20266
canzone napoletana,-11.11184
retro metal,-6.41516326531
cello,-10.95358
mandible,-20.30116
ballroom,-13.0211
ye ye,-8.66114
tango,-15.1995714286
swedish jazz,-17.2878367347
dixieland,-12.47906
old-time,-11.8558125
laboratorio,-13.6733061224
mashup,-6.08875510204
christelijk,-9.80654347826
freakbeat,-9.82526
punjabi,-4.71448979592
alternative roots rock,-8.20596
futurepop,-6.31148
vancouver indie,-5.99854
christian punk,-5.18452
choro,-13.13204
african rock,-7.26174
deep talent show,-5.69916
e6fi,-7.55098
drone metal,-9.4153877551
nordic house,-6.74253061224
electro bailando,-4.67716
early music,-23.21846
psychobilly,-6.09906
hawaiian,-12.2639
horror punk,-8.01178
andean,-10.3375
russian hip hop,-6.18253061224
detroit techno,-10.4763265306
progressive psytrance,-8.12051020408
comedy rock,-7.07567346939
thai pop,-6.24242
psychill,-9.62412244898
orchestral,-23.1408
tribal house,-7.28075
atmospheric black metal,-7.22066
progressive trance house,-7.797875
deep indian pop,-6.248
jazz trio,-17.77136
classical performance,-22.56988
persian pop,-5.69054
fado,-11.0074
classical piano,-21.9526666667
uk hip hop,-6.45053061224
voidgaze,-7.15002
danish hip hop,-6.16540816327
zouk riddim,-5.69534
israeli rock,-5.48624
czech rock,-6.54846938776
swedish reggae,-6.86961702128
exotica,-13.57818
