genre,liveness
canadian metal,0.170184
future funk,0.129666
christian uplift,0.213198
brazilian gospel,0.396877083333
german metal,0.20975
swedish indie pop,0.195572
gauze pop,0.177448
turkish jazz,0.190452
christian hip hop,0.232051020408
latin jazz,0.191376
stoner metal,0.230074
experimental,0.164566666667
ska,0.166524
french indie pop,0.166695833333
deep ccm,0.19578
merengue urbano,0.156304
classic norwegian pop,0.206851020408
pub rock,0.16234
memphis blues,0.192012
ska punk,0.2485
suomi rock,0.211995833333
afrobeats,0.133664
hyphy,0.167434693878
liquid funk,0.215322
swedish synthpop,0.162048
chicago blues,0.169148
drill,0.16226
vaporwave,0.232894
neue deutsche harte,0.226732
louvor,0.219224489796
world,0.159953061224
dub,0.103118
smooth jazz,0.117304
drum and bass,0.231434
memphis hip hop,0.203842
j-rock,0.209534
new orleans blues,0.161014
new weird america,0.12909375
german pop rock,0.189736
old school hip hop,0.203553061224
relaxative,0.126244
trova,0.230318
big band,0.154394
hardcore punk,0.252896
stomp pop,0.208998
bass music,0.172324
flamenco,0.169455319149
indonesian indie,0.139546938776
comedy,0.72112
baroque,0.151972413793
viking metal,0.226188
russelater,0.241202040816
djent,0.207931914894
mambo,0.174234
acoustic blues,0.180318
spanish indie pop,0.148026530612
swedish metal,0.22748
delta blues,0.149494
norwegian rock,0.161184
deep texas country,0.213465306122
gospel,0.284564
christian relaxative,0.124358695652
doo-wop,0.213194
icelandic pop,0.170426
latin metal,0.20642
cowboy western,0.156488
piedmont blues,0.160872
deep swedish indie pop,0.168534042553
wonky,0.236294
hardstyle,0.224656
classical period,0.13792
minimal tech house,0.140067346939
cumbia sonidera,0.135322
operatic pop,0.156606
meditation,0.341083673469
pop house,0.233968
dangdut,0.159775510204
turkish folk,0.201912244898
hands up,0.227224489796
deep disco house,0.135728571429
celtic,0.116832
desi,0.194258
shoegaze,0.188046
tejano,0.157802
boogaloo,0.161266
argentine reggae,0.23394
nwobhm,0.242712
deep hardstyle,0.267293877551
dansband,0.250524444444
indian pop,0.192538
danish pop rock,0.170783673469
japanese r&b,0.201544897959
electropowerpop,0.184888
gothic symphonic metal,0.261872
intelligent dance music,0.185874
healing,0.121042
sleep,0.494981632653
finnish hip hop,0.17038
desi hip hop,0.188463265306
schlager,0.201387755102
melbourne bounce,0.218466
contemporary jazz,0.171672
drone,0.130626
symphonic metal,0.223118
spanish punk,0.239916326531
filthstep,0.222662
louisiana blues,0.185444
children's music,0.214406122449
cubaton,0.184055102041
velha guarda,0.220822
electroclash,0.161857142857
jangle pop,0.190882
brazilian indie,0.172695918367
chicano rap,0.194771428571
spanish hip hop,0.192185714286
uk drill,0.190134
folk punk,0.22533
k-hop,0.234504
retro electro,0.209712244898
alternative r&b,0.214018
afrobeat,0.177886
polish pop,0.169434693878
opera,0.166415
british folk,0.11771627907
nu-cumbia,0.165466
a cappella,0.179308163265
j-dance,0.224648979592
alternative pop rock,0.165146
j-rap,0.180012244898
boston rock,0.165604
future garage,0.177395918367
crossover thrash,0.25272
mathcore,0.212446
classic danish pop,0.194651020408
german indie,0.13303
glitch,0.22158
coverchill,0.155428
jazz metal,0.217086
environmental,0.532145833333
reading,0.251129166667
filmi,0.212992
rumba,0.119070833333
azonto,0.135653061224
levenslied,0.241493877551
polynesian pop,0.13812
glitch hop,0.298948979592
melodipop,0.164077083333
arabesk,0.230444897959
zolo,0.210536
northern soul,0.184114
underground rap,0.168568
spanish new wave,0.17702
vapor pop,0.134402272727
brazilian punk,0.290494
piano blues,0.19065
abstract hip hop,0.168059183673
deep turkish pop,0.204896
christian dance,0.167686
neoclassical,0.154424
norwegian hip hop,0.188608
liedermacher,0.189556
discofox,0.3411875
australian hip hop,0.244312
folk metal,0.263254
canadian country,0.165804347826
strut,0.199504166667
breakbeat,0.270274
sludge metal,0.16322
italo dance,0.204524489796
bluegrass,0.165024
new tribe,0.175888
neo-singer-songwriter,0.172474
finnish metal,0.209546808511
danseband,0.189154347826
fluxwork,0.16117755102
hardcore techno,0.244812
jump blues,0.180096
welsh rock,0.218310204082
technical death metal,0.231669387755
german punk,0.186863265306
fingerstyle,0.127855102041
float house,0.146946938776
sleaze rock,0.2423
australian country,0.13882
deep uplifting trance,0.258293877551
alternative ccm,0.181858333333
folklore argentino,0.211266
kiwi rock,0.198782
alternative pop,0.171196
grave wave,0.21269
swamp blues,0.245756
electro jazz,0.228218
rock steady,0.14374
slow game,0.190324
j-metal,0.200816
post-metal,0.166859183673
techno,0.161118
no wave,0.169328
russian pop,0.194546
stomp and flutter,0.1335
portland indie,0.17793877551
dutch rock,0.177104081633
doom metal,0.182936
modern performance,0.133122
pagan black metal,0.207014583333
black metal,0.198708
jump up,0.25548
pop flamenco,0.15453877551
hard alternative,0.19875
christian metal,0.289868
kirtan,0.128166
neurofunk,0.218012
polish hip hop,0.219908163265
drift,0.11033
dark jazz,0.124006
peruvian rock,0.150918
deathgrind,0.232528
