id, value
classic danish pop,0.560020408163
german indie,0.62514
glitch,0.534104
coverchill,0.7254
jazz metal,0.42578
environmental,0.1554775
reading,0.662
filmi,0.63838
rumba,0.573895833333
azonto,0.758918367347
levenslied,0.562755102041
polynesian pop,0.74388
glitch hop,0.546979591837
melodipop,0.620541666667
arabesk,0.62812244898
zolo,0.66378
northern soul,0.58262
underground rap,0.72204
spanish new wave,0.60716
vapor pop,0.559386363636
brazilian punk,0.43412
piano blues,0.60638
abstract hip hop,0.667224489796
deep turkish pop,0.69652
christian dance,0.6174
neoclassical,0.319456
norwegian hip hop,0.64892
liedermacher,0.60844
discofox,0.657354166667
australian hip hop,0.66936
folk metal,0.41548
canadian country,0.574130434783
strut,0.746125
breakbeat,0.55698
sludge metal,0.330022
italo dance,0.709857142857
bluegrass,0.5272
new tribe,0.55014
neo-singer-songwriter,0.56902
finnish metal,0.432063829787
danseband,0.600913043478
fluxwork,0.53893877551
hardcore techno,0.58842
jump blues,0.60354
welsh rock,0.480836734694
technical death metal,0.375755102041
german punk,0.506
fingerstyle,0.458673469388
float house,0.740755102041
sleaze rock,0.49364
australian country,0.5943
deep uplifting trance,0.549102040816
alternative ccm,0.442333333333
folklore argentino,0.54764
kiwi rock,0.65614
alternative pop,0.4571
grave wave,0.58852
swamp blues,0.5856
electro jazz,0.73992
rock steady,0.77732
slow game,0.68092
j-metal,0.45488
post-metal,0.296673469388
techno,0.7004
no wave,0.53094
russian pop,0.69656
stomp and flutter,0.4919
portland indie,0.603306122449
dutch rock,0.570918367347
doom metal,0.310302
modern performance,0.258688
pagan black metal,0.282425
black metal,0.28986
jump up,0.50006
pop flamenco,0.683244897959
hard alternative,0.44604
christian metal,0.35872
kirtan,0.386796
neurofunk,0.48126
polish hip hop,0.651265306122
drift,0.168404
dark jazz,0.392058
peruvian rock,0.64964
deathgrind,0.346416
italian indie pop,0.63634
ectofolk,0.5283
symphonic black metal,0.32848
classic italian pop,0.467
turkish hip hop,0.649645833333
cuban rumba,0.63508
brega,0.588040816327
deep norteno,0.686163265306
happy hardcore,0.52918
carnaval,0.628191489362
belgian rock,0.62994
chicago house,0.71668
medieval rock,0.444265306122
irish folk,0.553266666667
jungle,0.52358
chamame,0.61352
scottish rock,0.4827
rap chileno,0.6948
classic chinese pop,0.52272
dark wave,0.53882
progressive uplifting trance,0.5228
orgcore,0.430266666667
austindie,0.60962
idol,0.57204
chicago indie,0.57922
medieval,0.43462
avant-garde jazz,0.4775
eurovision,0.599428571429
bay area indie,0.50668
romantico,0.480128
western swing,0.63348
russian rock,0.6732
japanese city pop,0.61868
new orleans jazz,0.59636
j-idol,0.65212
italian disco,0.7339
harmonica blues,0.60682
arab pop,0.65606
puerto rican rock,0.650591836735
dubstep,0.62484
classic finnish pop,0.618866666667
malaysian pop,0.636244897959
outsider house,0.54476
mexican rock-and-roll,0.48746
portuguese rock,0.58487755102
post-doom metal,0.291282
colombian rock,0.70046
sertanejo tradicional,0.600857142857
brutal death metal,0.36816
soul flow,0.65092
salsa international,0.627163265306
seattle indie,0.46784
avantgarde metal,0.325606
hardcore,0.36124
nasheed,0.57706122449
gbvfi,0.45008
psychedelic doom,0.315522
celtic punk,0.38318
grindcore,0.305608163265
quebecois,0.56752
austropop,0.6221
brazilian ccm,0.463836734694
funky tech house,0.76104
riddim,0.651612244898
psychedelic trance,0.60322
speed garage,0.732916666667
baile funk,0.819775510204
classic russian rock,0.646244897959
freestyle,0.74629787234
j-poprock,0.52056
italian pop rock,0.568102040816
ebm,0.57316
math pop,0.46658
barnmusik,0.712224489796
spanish noise pop,0.4818125
warm drone,0.201916326531
soca,0.75276
nursery,0.60486
ethereal wave,0.275384
nintendocore,0.49916
african gospel,0.50488
garage pop,0.38042
world meditation,0.208432
destroy techno,0.69238
balearic,0.725244897959
progressive deathcore,0.41788
math rock,0.417916666667
laiko,0.66672
acid house,0.641081632653
albuquerque indie,0.56798
mande pop,0.6125
polish punk,0.599291666667
russiavision,0.71612
deep latin christian,0.51778
indie dream pop,0.52588
kindermusik,0.810318181818
emo punk,0.388853658537
entehno,0.64528
bassline,0.65534
k-indie,0.59824
classic finnish rock,0.456125
substep,0.53002
electrofox,0.55448
drill and bass,0.609959183673
turbo folk,0.68293877551
british alternative rock,0.47712
ambeat,0.69656
ska revival,0.688489795918
deep minimal techno,0.775155555556
bmore,0.73112244898
british indie rock,0.49508
canterbury scene,0.4599
musica para ninos,0.65642
romanian pop,0.71834
chill lounge,0.601591836735
rock catala,0.674127659574
free jazz,0.44956
argentine indie,0.623775510204
deep comedy,0.52894
twee pop,0.50084
classic garage rock,0.531142857143
volksmusik,0.547434782609
post-post-hardcore,0.45026
electro-industrial,0.56566
gypsy jazz,0.65648
oi,0.40824
latin electronica,0.69602
straight edge,0.37436
christian hardcore,0.41554
kabarett,0.670404255319
kraut rock,0.32884
steampunk,0.55562
singaporean pop,0.519959183673
swedish hard rock,0.450306122449
world fusion,0.61988
slovak pop,0.593551020408
dansktop,0.61
surf music,0.48416
thai idol,0.61632
gabba,0.4819375
gothic rock,0.511163265306
chaotic hardcore,0.30798
nu age,0.292156
bhangra,0.70896
canzone napoletana,0.3925
retro metal,0.323714285714
cello,0.351394
mandible,0.32963
ballroom,0.380748
ye ye,0.5211
tango,0.469346938776
swedish jazz,0.476795918367
dixieland,0.58238
old-time,0.553979166667
laboratorio,0.492279591837
mashup,0.661714285714
christelijk,0.433043478261
freakbeat,0.52052
punjabi,0.740469387755
alternative roots rock,0.4367
futurepop,0.56302
vancouver indie,0.54334
christian punk,0.52754
choro,0.6021
african rock,0.67472
deep talent show,0.56138
e6fi,0.41562
drone metal,0.326967346939
nordic house,0.682510204082
electro bailando,0.73998
early music,0.275384
psychobilly,0.47342
hawaiian,0.624
horror punk,0.4158
andean,0.55904
russian hip hop,0.693428571429
detroit techno,0.661489795918
progressive psytrance,0.673346938776
comedy rock,0.632102040816
thai pop,0.59796
psychill,0.564163265306
orchestral,0.286184
tribal house,0.741020833333
atmospheric black metal,0.259814
progressive trance house,0.6258125
deep indian pop,0.638632653061
jazz trio,0.46714
classical performance,0.269944
persian pop,0.7078
fado,0.55336
classical piano,0.278619047619
uk hip hop,0.687040816327
voidgaze,0.252578
danish hip hop,0.727081632653
zouk riddim,0.6553
israeli rock,0.69254
czech rock,0.61506122449
swedish reggae,0.68570212766
exotica,0.526926
praise,0.45102
theme,0.395912
hungarian rock,0.49362
athens indie,0.49746
neo-trad metal,0.4003
dub techno,0.571265306122
norwegian metal,0.359591836735
venezuelan rock,0.6633
choral,0.1905
aggrotech,0.57156
neo-progressive,0.460040816327
turkish alternative,0.5344375
hungarian pop,0.614181818182
classic colombian pop,0.71086
kizomba,0.66134
avant-garde,0.251706
columbus ohio indie,0.504040816327
czech folk,0.593659574468
anime score,0.30384
visual kei,0.4818
mizrahi,0.67294
barnemusikk,0.62684
abstract beats,0.632979591837
italian metal,0.44686
popgaze,0.471265306122
indian folk,0.5769
deep latin alternative,0.628083333333
power-pop punk,0.39258
ok indie,0.542
deep chill,0.629229166667
classic turkish pop,0.54114
french movie tunes,0.507857142857
bubble trance,0.629081632653
goregrind,0.318244897959
j-indie,0.47812
vintage italian soundtrack,0.23449
melodic hard rock,0.52928
deep tech house,0.759104166667
dark cabaret,0.56524
