genre,instrumentalness
stomp pop,0.1015736678
bass music,0.4140522922
flamenco,0.517185195532
indonesian indie,0.0804840928571
comedy,1.6084e-06
baroque,0.836524137931
viking metal,0.2761446658
russelater,0.035778027551
djent,0.416205459574
mambo,0.0506894586
acoustic blues,0.0456217344
spanish indie pop,0.0571298453061
swedish metal,0.1602485172
delta blues,0.083314891
norwegian rock,0.103905477
deep texas country,0.00219578591837
gospel,0.0055126998
christian relaxative,0.435142030435
doo-wop,0.0177754188
icelandic pop,0.299917226
latin metal,0.0448264586
cowboy western,0.0049587092
piedmont blues,0.0510353228
deep swedish indie pop,0.163634146596
wonky,0.428557166
hardstyle,0.1030112574
classical period,0.438661
minimal tech house,0.742083877551
cumbia sonidera,0.009043315
operatic pop,0.0616510296
meditation,0.795735714286
pop house,0.022117015
dangdut,0.00332445285714
turkish folk,0.0184369
hands up,0.117268400408
deep disco house,0.672831179592
celtic,0.4919596176
desi,0.0066417942
shoegaze,0.4233556466
tejano,0.000293872
boogaloo,0.0218257942
argentine reggae,0.0029830348
nwobhm,0.0545969428
deep hardstyle,0.105190723673
dansband,0.0269180928889
indian pop,0.006640003
danish pop rock,0.0434027291837
japanese r&b,0.0418930587755
electropowerpop,0.0002457482
gothic symphonic metal,0.0409083566
intelligent dance music,0.821952
healing,0.795022774
sleep,0.683910204082
finnish hip hop,0.0001238484
desi hip hop,0.00746383897959
schlager,0.00181058265306
melbourne bounce,0.2301430276
contemporary jazz,0.706218
drone,0.85532
symphonic metal,0.0716021516
spanish punk,0.0416793718367
filthstep,0.1921392486
louisiana blues,0.059918117
children's music,0.00936410571429
cubaton,0.00158670102041
velha guarda,0.0264000178
electroclash,0.138833989184
jangle pop,0.0521792624
brazilian indie,0.0710833502041
chicano rap,0.00506995163265
spanish hip hop,0.000218257755102
uk drill,0.000533695
folk punk,0.023426002
k-hop,8.06672e-05
retro electro,0.450675390612
alternative r&b,0.0043296448
afrobeat,0.4323538276
polish pop,0.0357959840816
opera,0.0425966245
british folk,0.0856421581395
nu-cumbia,0.0185799752
a cappella,2.91044897959e-05
j-dance,0.0783064836735
alternative pop rock,0.0009564262
j-rap,0.0316428338776
boston rock,0.0872298914
future garage,0.446345089796
crossover thrash,0.1508499992
mathcore,0.2391384772
classic danish pop,0.0422964114286
german indie,0.064000306
glitch,0.3766007186
coverchill,0.0601790988
jazz metal,0.61325676
environmental,0.753317271458
reading,0.000121820833333
filmi,0.0025464294
rumba,0.65474803125
azonto,0.00123846387755
levenslied,0.00169960673469
polynesian pop,0.0027206792
glitch hop,0.25674526102
melodipop,0.00664143395833
arabesk,0.000261077755102
zolo,0.0816738266
northern soul,0.0019846308
underground rap,0.0093661178
spanish new wave,0.0041937468
vapor pop,0.0633349325
brazilian punk,0.0217249576
piano blues,0.1379921548
abstract hip hop,0.00954926877551
deep turkish pop,0.0004402482
christian dance,0.03139507
neoclassical,0.8148142
norwegian hip hop,0.0419373116
liedermacher,0.0067265014
discofox,0.000165046458333
australian hip hop,0.0542199704
folk metal,0.2007828136
canadian country,4.33641304348e-05
strut,0.00228574645833
breakbeat,0.2611001094
sludge metal,0.2946982064
italo dance,0.0607862320408
bluegrass,0.1184134486
new tribe,0.4836813624
neo-singer-songwriter,0.0002635898
finnish metal,0.175542948723
danseband,0.0103879743478
fluxwork,0.377541657755
hardcore techno,0.4042035074
jump blues,0.040006189
welsh rock,0.0252346028571
technical death metal,0.441309381837
german punk,0.0315610867347
fingerstyle,0.530546875102
float house,0.676017755102
sleaze rock,0.0084557284
australian country,5.20506e-05
deep uplifting trance,0.471812667347
alternative ccm,0.00456841041667
folklore argentino,0.0763845918
kiwi rock,0.0382187222
alternative pop,0.1270457358
grave wave,0.2513564822
swamp blues,0.064177772
electro jazz,0.481657986
rock steady,0.0523951306
slow game,5.755e-06
j-metal,0.0585453528
post-metal,0.592676183673
techno,0.7374672
no wave,0.230838581
russian pop,0.001426681
stomp and flutter,0.113210654
portland indie,0.195586701633
dutch rock,0.0579767159184
doom metal,0.3898540744
modern performance,0.8638462
pagan black metal,0.4367186875
black metal,0.4134885608
jump up,0.284994284
pop flamenco,0.00105064530612
hard alternative,0.00741955
christian metal,0.0463170618
kirtan,0.516416387
neurofunk,0.2454428096
polish hip hop,0.0222080740816
drift,0.8818
dark jazz,0.7492476242
peruvian rock,0.054627786
deathgrind,0.3592900222
italian indie pop,0.018426888
ectofolk,0.0009949592
symphonic black metal,0.390721998
classic italian pop,0.006769232
turkish hip hop,0.02152207375
cuban rumba,0.155328685
brega,0.0167715473469
deep norteno,0.0169272895918
happy hardcore,0.098669794
carnaval,0.000758642340426
belgian rock,0.157787162
chicago house,0.188334024
medieval rock,0.0310442561224
irish folk,0.073347138
jungle,0.226175397
chamame,0.00189104
scottish rock,0.0552451862
rap chileno,0.0338079562
classic chinese pop,0.001338104
dark wave,0.274947162
progressive uplifting trance,0.550736481333
orgcore,0.0659401253333
austindie,0.118829524
idol,0.0139190428
chicago indie,0.1384531006
medieval,0.489566622
avant-garde jazz,0.471033938
eurovision,0.000930599591837
bay area indie,0.1510665468
romantico,0.6535937
western swing,0.0166570074
russian rock,0.0155791218
japanese city pop,0.1717849238
new orleans jazz,0.3764180262
j-idol,0.0259067104
italian disco,0.122769278
harmonica blues,0.0876236054
arab pop,0.0044740104
puerto rican rock,8.19883673469e-05
dubstep,0.2233727596
classic finnish pop,0.0334606464444
malaysian pop,0.00773120346939
outsider house,0.5916848
mexican rock-and-roll,0.0087774886
portuguese rock,0.0791491516327
post-doom metal,0.6124758
colombian rock,0.044495501
sertanejo tradicional,2.59387755102e-07
brutal death metal,0.436292628
soul flow,0.0217714218
salsa international,0.0196773146939
seattle indie,0.0801175322
avantgarde metal,0.475134684
hardcore,0.1670589704
nasheed,0.0224004989796
gbvfi,0.107519487
psychedelic doom,0.35610422
celtic punk,0.045024355
grindcore,0.536718191837
quebecois,0.0315885742
austropop,0.0459379236
brazilian ccm,0.000682188163265
funky tech house,0.5802965434
riddim,2.1783877551e-05
psychedelic trance,0.61763126
speed garage,0.195642746458
baile funk,0.0249166677551
classic russian rock,0.0265783308163
freestyle,0.0656886993617
j-poprock,0.0076278364
italian pop rock,0.000838705918367
ebm,0.3079371268
math pop,0.3422970678
barnmusik,0.0226395167347
spanish noise pop,0.129933820417
warm drone,0.88293877551
soca,0.0001888544
nursery,0.3645965452
ethereal wave,0.4872035198
nintendocore,0.0597824608
african gospel,0.009427222
garage pop,0.166727573
world meditation,0.740174117
destroy techno,0.3562856
balearic,0.459024520408
progressive deathcore,0.1573357206
math rock,0.249762507917
laiko,1.02442e-05
acid house,0.589047271429
albuquerque indie,0.0473541196
mande pop,0.2862120678
polish punk,0.161303682708
russiavision,0.0018129312
deep latin christian,4.51282e-05
indie dream pop,0.402937498
kindermusik,0.00225800590909
emo punk,0.0845098685366
entehno,5.20898e-05
bassline,0.0572498546
k-indie,0.0454237508
classic finnish rock,0.105948612917
substep,0.3971076584
electrofox,0.353834408
drill and bass,0.630155023878
turbo folk,6.09975510204e-05
british alternative rock,0.0320672124
ambeat,0.5158074364
ska revival,0.100254991429
deep minimal techno,0.832377777778
bmore,0.0790341797959
british indie rock,0.0717547742
canterbury scene,0.389276428
musica para ninos,0.013780316
romanian pop,0.015801946
chill lounge,0.605771428571
rock catala,0.025872117234
free jazz,0.304390619
argentine indie,0.0432626804082
deep comedy,3.4624e-06
twee pop,0.1042729296
classic garage rock,0.0417558457143
volksmusik,0.0429203747826
post-post-hardcore,0.0300467928
electro-industrial,0.2679791968
gypsy jazz,0.650318503
oi,0.067337124
latin electronica,0.20408612
straight edge,0.1375420844
christian hardcore,0.0248208426
kabarett,0.0003273
kraut rock,0.684726568
steampunk,0.0620102106
singaporean pop,0.000529333469388
swedish hard rock,0.05562769
world fusion,0.5525041506
slovak pop,0.0214226432653
dansktop,0.0480331469388
surf music,0.4469986712
thai idol,0.0006026462
gabba,0.144592335417
gothic rock,0.28619789898
chaotic hardcore,0.3256958602
nu age,0.8787
bhangra,0.02519291
canzone napoletana,0.0123670536
retro metal,0.366875030204
cello,0.68995066
mandible,0.792086
ballroom,0.641012226
ye ye,0.0130521108
tango,0.429213789796
swedish jazz,0.701393867347
dixieland,0.1813352866
old-time,0.15306224625
laboratorio,0.273199282653
mashup,0.0377832312245
christelijk,0.0916568071739
freakbeat,0.0603564772
punjabi,0.0320858995918
alternative roots rock,0.1241742296
futurepop,0.1183715704
vancouver indie,0.1006672054
christian punk,0.0115504986
choro,0.1579840264
african rock,0.0543037366
deep talent show,0.003787125
e6fi,0.193621446
drone metal,0.693984285714
nordic house,0.245810778571
electro bailando,0.0014443488
early music,0.428005424
psychobilly,0.0730449608
hawaiian,0.2716956956
horror punk,0.1184451102
andean,0.2032579654
russian hip hop,0.00131531938776
detroit techno,0.653928723469
progressive psytrance,0.71884122449
comedy rock,0.000117515102041
thai pop,0.0006057774
psychill,0.623254174286
orchestral,0.738885576
tribal house,0.521563049375
atmospheric black metal,0.67700377
progressive trance house,0.61347759375
deep indian pop,0.00229016755102
jazz trio,0.718025832
classical performance,0.727408648
persian pop,0.0013741608
fado,0.10375868
classical piano,0.766289914286
uk hip hop,0.0629266053061
voidgaze,0.512209554
danish hip hop,0.0168304969388
zouk riddim,0.005801435
israeli rock,0.0019865164
czech rock,0.0669537912245
swedish reggae,0.0114297076596
exotica,0.5645854152
praise,1.18404e-05
theme,0.613323294
hungarian rock,0.0573432022
athens indie,0.150114435
neo-trad metal,0.0785509236
dub techno,0.77092114898
norwegian metal,0.359255877551
venezuelan rock,0.0314595756
choral,0.64661353913
aggrotech,0.2371778786
neo-progressive,0.138704143265
turkish alternative,0.014422220625
hungarian pop,0.0341678856818
classic colombian pop,0.0016702596
kizomba,0.0204272028
avant-garde,0.65392744
columbus ohio indie,0.0418718277551
czech folk,0.00052733212766
anime score,0.7073775566
visual kei,0.035009262
mizrahi,0.0001125658
barnemusikk,0.012388806
abstract beats,0.326557873061
italian metal,0.0497666584
popgaze,0.368484520408
indian folk,0.004603163
deep latin alternative,0.190596404167
power-pop punk,0.0512215298
ok indie,0.0645556986
deep chill,0.690973958333
classic turkish pop,0.0354792822
french movie tunes,0.0204034144898
bubble trance,0.568387293878
goregrind,0.544124285714
j-indie,0.0401191582
vintage italian soundtrack,0.7431388554
melodic hard rock,0.03129798
deep tech house,0.688445833333
dark cabaret,0.0695394162
shibuya-kei,0.181422854583
deep pop punk,0.00314747708333
folkmusik,0.247698539556
power blues-rock,0.02965381
rai,0.000836928571429
p funk,0.0354353678
swedish punk,0.04333047
russian punk,0.0297209014
spanish reggae,0.021805499
black thrash,0.4589588588
fidget house,0.257096761224
shimmer psych,0.2115856422
musica nativista,0.000181182142857
albanian pop,0.006140065
horrorcore,0.0001087116
basque rock,0.0360484512766
violin,0.682911427273
nu skool breaks,0.528052745
melodic power metal,0.063342115
turkish classical,0.252318999796
highlife,0.0737257826
belly dance,0.1122152746
string quartet,0.26288122
classic belgian pop,0.0050349477551
indie psych-pop,0.19129796551
southern gospel,0.0125027589796
chiptune,0.4662964432
soukous,0.00335084
lds,0.527276795918
instrumental post rock,0.865346938776
irish country,0.0011308622449
brass band,0.533689182
classic polish pop,0.0035656087234
bouncy house,0.059031754
vintage swedish pop,0.0212931659574
timba,0.0010572306
classic peruvian pop,0.0657177708163
renaissance,0.3901647572
acid techno,0.834702
norwegian gospel,0.0362057636
yugoslav rock,0.0105736485714
dominican pop,0.0202117068
classic icelandic pop,0.0558333551064
arab folk,0.181904832708
southern soul blues,0.001457315
perth indie,0.0391698638
neue deutsche welle,0.116498483061
swiss rock,0.2620148858
zouk,0.0035105128
deep melodic metalcore,0.0140946212
sega,0.0191332926531
mod revival,0.0398883104
pakistani pop,0.000557959795918
deep soul house,0.65165112
french folk pop,0.0122740175
deep christian rock,0.033014694
c86,0.2358985052
rio de la plata,0.0016517
native american,0.598840365306
college a cappella,0.0001766548
uk dub,0.176632361224
jazz bass,0.4882664706
miami bass,0.0400467954
ambient idm,0.721952836
polish reggae,0.0436806057143
nordic folk,0.5543368678
hauntology,0.628892222
vienna indie,0.0997123510417
swamp pop,0.021320903
modern uplift,0.00382678520833
catalan folk,0.0669512872917
chanson quebecois,0.035675684375
girl group,0.0290573298
brazilian composition,0.6445316875
digital hardcore,0.297690853
hip hop tuga,0.0930712995745
hip hop quebecois,0.016871110625
deep neofolk,0.0640645767347
vintage french electronic,0.464062662857
samba-enredo,0.0225674904348
vocaloid,0.183235577755
italian jazz,0.6640724
croatian pop,0.00547450770833
spanish folk,0.0112429002
hard minimal techno,0.671532653061
vintage tango,0.2753260968
desert blues,0.3361536448
garage punk,0.1997192632
bounce,0.0184874811364
hiplife,0.0144055027083
mexican son,0.020221769375
