genre,energy
boogie-woogie,0.454754
morna,0.47352
ecuadoria,0.687530612245
traditional rock 'n roll,0.5653
estonian pop,0.67684
tin pan alley,0.235828
german show tunes,0.4228625
disco polo,0.82558
portuguese pop,0.786956521739
mbalax,0.699075510204
harpsichord,0.140828
deep soundtrack,0.161899
polish indie,0.712816326531
cyber metal,0.938591836735
kids dance party,0.564416
metal guitar,0.7684
thrash core,0.89922
outsider,0.427554285714
full on,0.887041666667
composition d,0.0715858333333
deep liquid,0.831734693878
kompa,0.78746
new age piano,0.146194
heavy alternative,0.837653061224
jumpstyle,0.91144
electropunk,0.6766
classic czech pop,0.634348837209
stomp and whittle,0.609922
slovak hip hop,0.7458
beats,0.550836734694
brutal deathcore,0.95132
finnish indie,0.58225
makossa,0.845428571429
qawwali,0.59332
kwaito house,0.643489795918
witch house,0.588857142857
j-ambient,0.228638857143
atmospheric post rock,0.538966
zillertal,0.744152173913
gothic alternative,0.8862
funk carioca,0.811
latvian pop,0.641191489362
crust punk,0.9279
oshare kei,0.894708333333
blackgaze,0.708306122449
psych gaze,0.709163265306
grunge pop,0.854346938776
orquesta tropical,0.68093877551
ghazal,0.5262
classic venezuelan pop,0.558408163265
rva indie,0.637044
irish indie,0.51808
denver indie,0.72078
world chill,0.568734693878
deep gothic post-punk,0.71088
ethiopian pop,0.609795918367
deep rai,0.847673913043
electro dub,0.645391304348
traditional ska,0.68036
hungarian hip hop,0.795155555556
fake,0.76142
beatdown,0.88354
deep acoustic pop,0.499906122449
drone folk,0.311753061224
canadian hip hop,0.765040816327
louisville indie,0.671448
dirty texas rap,0.613408163265
neofolk,0.622265306122
neo-rockabilly,0.71452
judaica,0.65234
deep flow,0.837078947368
japanese psychedelic,0.633522
ragtime,0.289995918367
anarcho-punk,0.826
workout,0.82162
austrian hip hop,0.684020833333
guidance,0.1331534
traditional british folk,0.298271428571
calypso,0.445032
orquesta tipica,0.34456
swiss hip hop,0.708979166667
geek rock,0.655918367347
deep adult standards,0.331424
blaskapelle,0.462893617021
classic french pop,0.70948
nwothm,0.871612244898
deep smooth jazz,0.66898
deep dance pop,0.748816326531
dark black metal,0.889346938776
abstract,0.398819791667
tone,0.0628264583333
neo-synthpop,0.8277
minimal melodic techno,0.604170212766
nerdcore,0.77848
ukulele,0.360442
kurdish folk,0.652163265306
ukrainian rock,0.659326530612
kayokyoku,0.391795918367
new beat,0.890041666667
lithumania,0.600145833333
modern southern rock,0.74728
euroska,0.812104166667
k-rock,0.50306122449
classic soundtrack,0.361768
zouglou,0.867265306122
australian indie,0.70086
indie emo,0.752224489796
lo star,0.64312
atmospheric post-metal,0.70986
broken beat,0.65522
acousmatic,0.13030498
minimal wave,0.732571428571
solipsynthm,0.704244897959
swedish prog,0.608788
alternative americana,0.516293877551
darkstep,0.877244897959
nl folk,0.626386
marching band,0.423576938776
lounge house,0.608510638298
semba,0.6025625
underground power pop,0.6886
psychedelic blues-rock,0.652166666667
crack rock steady,0.90826
vegan straight edge,0.683775510204
motivation,0.170952
schranz,0.805571428571
traditional swing,0.673520833333
chalga,0.754612244898
musiikkia lapsille,0.472067391304
footwork,0.7059
breakcore,0.657591836735
yoik,0.467995833333
leeds indie,0.719448979592
tribute,0.626816326531
funky breaks,0.816510204082
indian classical,0.326836875
didgeridoo,0.564959574468
classic dutch pop,0.641448979592
slc indie,0.6712
deep contemporary country,0.587489795918
danish indie,0.6060625
belgian indie,0.589833333333
jazz brass,0.314804081633
deep brazilian pop,0.39320212766
corrosion,0.7734
black death,0.92964
japanese jazztronica,0.7766
electro trash,0.830163265306
classic afrobeat,0.73892
gothic americana,0.634755102041
slavic metal,0.86356
dark hardcore,0.976891304348
scratch,0.616469387755
traditional scottish folk,0.532587755102
hebrew pop,0.81092
garage punk blues,0.66712
hindustani classical,0.286268958333
indie singer-songwriter,0.354416
deep german punk,0.83552173913
deep disco,0.66492
electronicore,0.914510204082
zydeco,0.77324
usbm,0.76798
string folk,0.203687755102
beach music,0.621369565217
luk thung,0.527469387755
michigan indie,0.56758
south african jazz,0.58268
islamic recitation,0.202324489796
spanish invasion,0.633270833333
russian alternative,0.776416666667
deep orchestral,0.0793353191489
mallet,0.400839583333
dark ambient,0.180703061224
ragga jungle,0.834520833333
progressive alternative,0.81118
fast melodic punk,0.964869565217
martial industrial,0.579368421053
deep discofox,0.930183673469
enka,0.35875
kwaito,0.647346938776
porro,0.58736
power violence,0.89436
finnish hardcore,0.892409090909
neurostep,0.8531875
classic russian pop,0.802469387755
vapor house,0.707897959184
deep melodic hard rock,0.905734693878
downtempo fusion,0.715952
ostrock,0.62697826087
spanish classical,0.261691489362
monastic,0.116866734694
string band,0.6161
ambient psychill,0.600183673469
