,genre,energy
559,classic danish pop,0.647204081633
560,german indie,0.575148
561,glitch,0.7269066
562,coverchill,0.40266
563,jazz metal,0.85854
564,environmental,0.662767414583
565,reading,0.2566875
566,filmi,0.73498
567,rumba,0.48498125
568,azonto,0.756816326531
569,levenslied,0.688510204082
570,polynesian pop,0.60646
571,glitch hop,0.793571428571
572,melodipop,0.618770833333
573,arabesk,0.759204081633
574,zolo,0.73622
575,northern soul,0.5564
576,underground rap,0.7093
577,spanish new wave,0.74556
578,vapor pop,0.559113636364
579,brazilian punk,0.84962
580,piano blues,0.386686
581,abstract hip hop,0.696795918367
582,deep turkish pop,0.79936
583,christian dance,0.78622
584,neoclassical,0.1471812
585,norwegian hip hop,0.57386
586,liedermacher,0.65892
587,discofox,0.903854166667
588,australian hip hop,0.73316
589,folk metal,0.94478
590,canadian country,0.681347826087
591,strut,0.773666666667
592,breakbeat,0.89514
593,sludge metal,0.88894
594,italo dance,0.843
595,bluegrass,0.4727
596,new tribe,0.44483
597,neo-singer-songwriter,0.50422
598,finnish metal,0.902191489362
599,danseband,0.675369565217
600,fluxwork,0.483510204082
601,hardcore techno,0.90066
602,jump blues,0.548246
603,welsh rock,0.783795918367
604,technical death metal,0.948591836735
605,german punk,0.855795918367
606,fingerstyle,0.347228571429
607,float house,0.623979591837
608,sleaze rock,0.8003
609,australian country,0.74338
610,deep uplifting trance,0.82887755102
611,alternative ccm,0.5921875
612,folklore argentino,0.36948
613,kiwi rock,0.58318
614,alternative pop,0.74092
615,grave wave,0.69018
616,swamp blues,0.53795
617,electro jazz,0.59988
618,rock steady,0.5356
619,slow game,0.57064
620,j-metal,0.91626
621,post-metal,0.722714285714
622,techno,0.6919
623,no wave,0.63796
624,russian pop,0.66104
625,stomp and flutter,0.348162
626,portland indie,0.616448979592
627,dutch rock,0.607751020408
628,doom metal,0.80688
629,modern performance,0.1100496
630,pagan black metal,0.786645833333
631,black metal,0.90092
632,jump up,0.88298
633,pop flamenco,0.718081632653
634,hard alternative,0.88616
635,christian metal,0.9367
636,kirtan,0.2342654
637,neurofunk,0.85248
638,polish hip hop,0.676387755102
639,drift,0.1249158
640,dark jazz,0.361835
641,peruvian rock,0.65902
642,deathgrind,0.95744
643,italian indie pop,0.658866
644,ectofolk,0.423728
645,symphonic black metal,0.91956
646,classic italian pop,0.390936
647,turkish hip hop,0.714
648,cuban rumba,0.63984
649,brega,0.607367346939
650,deep norteno,0.788816326531
651,happy hardcore,0.9403
652,carnaval,0.801872340426
653,belgian rock,0.61832
654,chicago house,0.73088
655,medieval rock,0.799571428571
656,irish folk,0.558224444444
657,jungle,0.88496
658,chamame,0.6675
659,scottish rock,0.73014
660,rap chileno,0.7038
661,classic chinese pop,0.42098
662,dark wave,0.76544
663,progressive uplifting trance,0.8746
664,orgcore,0.891888888889
665,austindie,0.607
666,idol,0.64386
667,chicago indie,0.59248
668,medieval,0.49922
669,avant-garde jazz,0.289778
670,eurovision,0.654163265306
671,bay area indie,0.70556
672,romantico,0.385358
673,western swing,0.38202
674,russian rock,0.67908
675,japanese city pop,0.72154
676,new orleans jazz,0.30899
677,j-idol,0.8572
