,genre,instrumentalness
301,post-screamo,0.0067900456
302,punk blues,0.037382263
303,vocal house,0.172083461429
304,deep euro house,0.4365674886
305,deep new americana,0.0450376366
306,bow pop,0.3806264862
307,french hip hop,0.0243327542
308,alternative emo,0.0948009544
309,axe,0.000634615918367
310,big beat,0.412603917551
311,cabaret,0.0154715558
312,finnish pop,0.0143620659184
313,progressive trance,0.5011464834
314,chanson,0.008839909
315,swedish indie rock,0.090816099
316,industrial rock,0.1471803134
317,merengue,0.000428457
318,etherpop,0.000686078163265
319,garage psych,0.3095084084
320,jazz fusion,0.467946528
321,power pop,0.045072671
322,ninja,0.313423127
323,cantopop,0.00262716408163
324,uk post-punk,0.183021458163
325,melodic death metal,0.1803474362
326,deep swedish hip hop,0.0072411512
327,country dawn,0.000607663673469
328,bubblegum dance,0.100119969
329,show tunes,0.000163091020408
330,post rock,0.86072
331,dutch hip hop,0.0465874714286
332,vallenato,0.0008888108
333,shiver pop,0.0339467352
334,italian hip hop,0.0045293668
335,dutch pop,0.00731543632653
336,post-disco,0.0550905044
337,bebop,0.466028794
338,deep regional mexican,2.0462e-06
339,spanish pop rock,0.000182649591837
340,modern classical,0.907454545455
341,swedish eurodance,0.0394995018
342,contemporary post-bop,0.445131414
343,minimal techno,0.733574
344,irish rock,0.020549212
345,dutch house,0.136531449362
346,turkish rock,0.0252079042857
347,easy listening,0.0081245936
348,swedish hip hop,0.020509002
349,danspunk,0.0174519355102
350,australian pop,0.0673912182
351,indonesian pop,0.0060803762
352,canadian indie,0.0457095920408
353,wrestling,0.107524093061
354,microhouse,0.664216938776
355,hip house,0.1166820992
356,cumbia villera,0.00213080081633
357,west coast trap,0.0001321184
358,texas blues,0.124714932
359,celtic rock,0.0071083128
360,broadway,3.34548e-05
361,pinoy alternative,0.001198188
362,french indietronica,0.3191453742
363,blues,0.1409086638
364,acid jazz,0.446168884783
365,anthem emo,0.0679184816327
366,chillstep,0.2968367256
367,movie tunes,0.0001645006
368,tech house,0.785134
369,uk funky,0.0214124706122
370,norwegian indie,0.0442697573469
371,progressive bluegrass,0.031538351
372,classic swedish pop,0.0747533320833
373,traditional blues,0.1195856736
374,soul jazz,0.5004480884
375,stoner rock,0.0902589006
376,melodic hardcore,0.025073445
377,experimental rock,0.2712401806
378,turntablism,0.2060774072
379,norwegian pop,0.0283360306
380,minimal dub,0.289407234694
381,fourth world,0.883551020408
382,electro,0.2777100946
383,swing,0.2295934098
384,latin christian,0.000711826
385,dreamo,0.1508692796
386,indie jazz,0.3491758712
387,rock gaucho,0.0584012124
388,french rock,0.0869062414286
389,post-hardcore,0.0561665652
390,epicore,0.71510354375
391,azontobeats,0.0037270104
392,zapstep,0.19312112
393,deep chiptune,0.6377116408
394,sheffield indie,0.0548566964
395,uplifting trance,0.5427427248
396,noise rock,0.238401843617
397,progressive post-hardcore,0.1793891694
398,hard bop,0.50180676
399,antiviral pop,0.0238846673469
400,aussietronica,0.0856379684
401,indie punk,0.0660413644
402,death core,0.057128628125
403,electro latino,0.0005112552
404,ambient,0.888673469388
405,reggae rock,0.0093509654
406,country blues,0.0622738826
407,anime,0.0503839644
408,deep funk,0.321142641
409,new age,0.735584016
410,french reggae,0.00159180422222
411,j-pop,0.028269329
412,groove room,0.3090295344
413,lovers rock,0.0186966014
414,deep melodic euro house,0.780394
415,death metal,0.215850574
416,nu disco,0.193166439592
417,indie rockism,0.00470036367347
418,electro swing,0.240759024082
419,country gospel,0.0058386752
420,neo classical metal,0.2406535
421,mexican indie,0.0962910759184
422,uk garage,0.17288856102
423,gothic metal,0.0792570098
424,stride,0.5170424434
425,industrial,0.1982149048
426,canadian metal,0.0181403426
427,future funk,0.57435864
428,christian uplift,0.0038268896
429,brazilian gospel,0.000524674583333
430,german metal,0.111184982
431,swedish indie pop,0.1143392818
432,gauze pop,0.0127483876
433,turkish jazz,0.0868677242
434,christian hip hop,2.50606122449e-05
435,latin jazz,0.0586794374
436,stoner metal,0.1193606
437,experimental,0.32583813625
438,ska,0.0027780604
439,french indie pop,0.237036083542
440,deep ccm,0.0803114462
441,merengue urbano,0.0128443004
442,classic norwegian pop,0.0102488059184
443,pub rock,0.0275338794
444,memphis blues,0.119393249
445,ska punk,0.0026355154
446,suomi rock,0.073865405625
447,afrobeats,0.007949022
448,hyphy,0.0069454544898
449,liquid funk,0.1435975886
450,swedish synthpop,0.0284718478
451,chicago blues,0.1267489494
452,drill,0.0013208934
453,vaporwave,0.546409636
454,neue deutsche harte,0.1872207696
455,louvor,0.0288701353061
456,world,0.248151429592
457,dub,0.0180700518
458,smooth jazz,0.3571906416
459,drum and bass,0.1968517154
460,memphis hip hop,0.0025305734
461,j-rock,0.0577849584
462,new orleans blues,0.13732284
463,new weird america,0.235849970833
464,german pop rock,0.0002070234
465,old school hip hop,0.0280949430612
466,relaxative,0.853180816
467,trova,0.019302993
468,big band,0.3263096106
469,hardcore punk,0.0087177248
470,stomp pop,0.1015736678
471,bass music,0.4140522922
472,flamenco,0.517185195532
473,indonesian indie,0.0804840928571
474,comedy,1.6084e-06
475,baroque,0.836524137931
476,viking metal,0.2761446658
477,russelater,0.035778027551
478,djent,0.416205459574
479,mambo,0.0506894586
480,acoustic blues,0.0456217344
481,spanish indie pop,0.0571298453061
482,swedish metal,0.1602485172
483,delta blues,0.083314891
484,norwegian rock,0.103905477
485,deep texas country,0.00219578591837
486,gospel,0.0055126998
487,christian relaxative,0.435142030435
488,doo-wop,0.0177754188
489,icelandic pop,0.299917226
490,latin metal,0.0448264586
491,cowboy western,0.0049587092
492,piedmont blues,0.0510353228
493,deep swedish indie pop,0.163634146596
494,wonky,0.428557166
495,hardstyle,0.1030112574
496,classical period,0.438661
497,minimal tech house,0.742083877551
498,cumbia sonidera,0.009043315
499,operatic pop,0.0616510296
500,meditation,0.795735714286
501,pop house,0.022117015
502,dangdut,0.00332445285714
503,turkish folk,0.0184369
504,hands up,0.117268400408
505,deep disco house,0.672831179592
506,celtic,0.4919596176
507,desi,0.0066417942
508,shoegaze,0.4233556466
509,tejano,0.000293872
510,boogaloo,0.0218257942
511,argentine reggae,0.0029830348
512,nwobhm,0.0545969428
513,deep hardstyle,0.105190723673
514,dansband,0.0269180928889
515,indian pop,0.006640003
516,danish pop rock,0.0434027291837
517,japanese r&b,0.0418930587755
518,electropowerpop,0.0002457482
519,gothic symphonic metal,0.0409083566
520,intelligent dance music,0.821952
521,healing,0.795022774
522,sleep,0.683910204082
523,finnish hip hop,0.0001238484
524,desi hip hop,0.00746383897959
525,schlager,0.00181058265306
526,melbourne bounce,0.2301430276
527,contemporary jazz,0.706218
528,drone,0.85532
529,symphonic metal,0.0716021516
530,spanish punk,0.0416793718367
531,filthstep,0.1921392486
532,louisiana blues,0.059918117
533,children's music,0.00936410571429
534,cubaton,0.00158670102041
535,velha guarda,0.0264000178
536,electroclash,0.138833989184
537,jangle pop,0.0521792624
538,brazilian indie,0.0710833502041
539,chicano rap,0.00506995163265
540,spanish hip hop,0.000218257755102
541,uk drill,0.000533695
542,folk punk,0.023426002
543,k-hop,8.06672e-05
544,retro electro,0.450675390612
545,alternative r&b,0.0043296448
546,afrobeat,0.4323538276
547,polish pop,0.0357959840816
548,opera,0.0425966245
549,british folk,0.0856421581395
550,nu-cumbia,0.0185799752
551,a cappella,2.91044897959e-05
552,j-dance,0.0783064836735
553,alternative pop rock,0.0009564262
554,j-rap,0.0316428338776
555,boston rock,0.0872298914
556,future garage,0.446345089796
557,crossover thrash,0.1508499992
558,mathcore,0.2391384772
559,classic danish pop,0.0422964114286
560,german indie,0.064000306
561,glitch,0.3766007186
562,coverchill,0.0601790988
563,jazz metal,0.61325676
564,environmental,0.753317271458
565,reading,0.000121820833333
566,filmi,0.0025464294
567,rumba,0.65474803125
568,azonto,0.00123846387755
569,levenslied,0.00169960673469
570,polynesian pop,0.0027206792
571,glitch hop,0.25674526102
572,melodipop,0.00664143395833
573,arabesk,0.000261077755102
574,zolo,0.0816738266
575,northern soul,0.0019846308
576,underground rap,0.0093661178
577,spanish new wave,0.0041937468
578,vapor pop,0.0633349325
579,brazilian punk,0.0217249576
580,piano blues,0.1379921548
581,abstract hip hop,0.00954926877551
582,deep turkish pop,0.0004402482
583,christian dance,0.03139507
584,neoclassical,0.8148142
585,norwegian hip hop,0.0419373116
586,liedermacher,0.0067265014
587,discofox,0.000165046458333
588,australian hip hop,0.0542199704
589,folk metal,0.2007828136
590,canadian country,4.33641304348e-05
591,strut,0.00228574645833
592,breakbeat,0.2611001094
593,sludge metal,0.2946982064
594,italo dance,0.0607862320408
595,bluegrass,0.1184134486
596,new tribe,0.4836813624
597,neo-singer-songwriter,0.0002635898
598,finnish metal,0.175542948723
599,danseband,0.0103879743478
600,fluxwork,0.377541657755
601,hardcore techno,0.4042035074
602,jump blues,0.040006189
603,welsh rock,0.0252346028571
604,technical death metal,0.441309381837
605,german punk,0.0315610867347
606,fingerstyle,0.530546875102
607,float house,0.676017755102
608,sleaze rock,0.0084557284
609,australian country,5.20506e-05
610,deep uplifting trance,0.471812667347
611,alternative ccm,0.00456841041667
612,folklore argentino,0.0763845918
613,kiwi rock,0.0382187222
614,alternative pop,0.1270457358
615,grave wave,0.2513564822
616,swamp blues,0.064177772
617,electro jazz,0.481657986
618,rock steady,0.0523951306
619,slow game,5.755e-06
620,j-metal,0.0585453528
621,post-metal,0.592676183673
622,techno,0.7374672
623,no wave,0.230838581
624,russian pop,0.001426681
625,stomp and flutter,0.113210654
626,portland indie,0.195586701633
627,dutch rock,0.0579767159184
628,doom metal,0.3898540744
629,modern performance,0.8638462
630,pagan black metal,0.4367186875
631,black metal,0.4134885608
632,jump up,0.284994284
633,pop flamenco,0.00105064530612
634,hard alternative,0.00741955
635,christian metal,0.0463170618
636,kirtan,0.516416387
637,neurofunk,0.2454428096
638,polish hip hop,0.0222080740816
639,drift,0.8818
640,dark jazz,0.7492476242
641,peruvian rock,0.054627786
642,deathgrind,0.3592900222
643,italian indie pop,0.018426888
644,ectofolk,0.0009949592
645,symphonic black metal,0.390721998
646,classic italian pop,0.006769232
647,turkish hip hop,0.02152207375
648,cuban rumba,0.155328685
649,brega,0.0167715473469
650,deep norteno,0.0169272895918
651,happy hardcore,0.098669794
652,carnaval,0.000758642340426
653,belgian rock,0.157787162
654,chicago house,0.188334024
