,genre,loudness
326,deep swedish hip hop,-6.2566
327,country dawn,-5.81226530612
328,bubblegum dance,-6.58178
329,show tunes,-11.0254897959
330,post rock,-14.83588
331,dutch hip hop,-6.8557755102
332,vallenato,-5.64856
333,shiver pop,-7.98564
334,italian hip hop,-6.27652
335,dutch pop,-8.38116326531
336,post-disco,-8.85808
337,bebop,-17.92022
338,deep regional mexican,-4.89768
339,spanish pop rock,-5.83642857143
340,modern classical,-25.4077272727
341,swedish eurodance,-4.83254
342,contemporary post-bop,-17.95174
343,minimal techno,-9.85406
344,irish rock,-7.98634
345,dutch house,-4.49534042553
346,turkish rock,-6.51373469388
347,easy listening,-11.55804
348,swedish hip hop,-7.71986
349,danspunk,-5.22355102041
350,australian pop,-7.59172
351,indonesian pop,-8.19834
352,canadian indie,-7.02524489796
353,wrestling,-5.54483673469
354,microhouse,-11.096
355,hip house,-9.13066
356,cumbia villera,-5.43359183673
357,west coast trap,-6.76552
358,texas blues,-10.53802
359,celtic rock,-5.71746
360,broadway,-8.93388
361,pinoy alternative,-9.60892
362,french indietronica,-8.77596
363,blues,-10.87808
364,acid jazz,-9.18497826087
365,anthem emo,-5.91002040816
366,chillstep,-7.64868
367,movie tunes,-12.92854
368,tech house,-8.70786
369,uk funky,-5.47828571429
370,norwegian indie,-7.47304081633
371,progressive bluegrass,-9.33796
372,classic swedish pop,-9.51841666667
373,traditional blues,-11.25142
374,soul jazz,-16.37594
375,stoner rock,-8.0455
376,melodic hardcore,-4.92254
377,experimental rock,-8.9715
378,turntablism,-8.70236
379,norwegian pop,-6.36322
380,minimal dub,-8.44416326531
381,fourth world,-26.4379591837
382,electro,-7.1435
383,swing,-15.39046
384,latin christian,-6.53294
385,dreamo,-6.85606
386,indie jazz,-10.88018
387,rock gaucho,-7.7914
388,french rock,-9.15924489796
389,post-hardcore,-5.637
390,epicore,-9.96233333333
391,azontobeats,-5.6726
392,zapstep,-3.58552
393,deep chiptune,-10.44704
394,sheffield indie,-6.35946
395,uplifting trance,-10.36262
396,noise rock,-6.83061702128
397,progressive post-hardcore,-4.924
398,hard bop,-18.18362
399,antiviral pop,-5.71632653061
400,aussietronica,-6.86648
401,indie punk,-5.82926
402,death core,-4.0558125
403,electro latino,-4.9513
404,ambient,-24.8696326531
405,reggae rock,-6.34878
406,country blues,-10.82486
407,anime,-4.55868
408,deep funk,-8.64666
409,new age,-18.1604
410,french reggae,-6.83217777778
411,j-pop,-4.00708
412,groove room,-7.09498
413,lovers rock,-8.68126
414,deep melodic euro house,-10.4928
415,death metal,-5.17874
416,nu disco,-6.98657142857
417,indie rockism,-4.97075510204
418,electro swing,-6.28591836735
419,country gospel,-11.75294
420,neo classical metal,-5.6999
421,mexican indie,-6.02971428571
422,uk garage,-6.40726530612
423,gothic metal,-4.94986
424,stride,-17.32586
425,industrial,-7.26252
426,canadian metal,-4.94604
427,future funk,-12.22284
428,christian uplift,-8.37288
429,brazilian gospel,-6.8150625
430,german metal,-6.88986
431,swedish indie pop,-7.49906
432,gauze pop,-8.34092
433,turkish jazz,-9.15738
434,christian hip hop,-6.08446938776
435,latin jazz,-10.17194
436,stoner metal,-5.5427
437,experimental,-9.74495833333
438,ska,-6.50946
439,french indie pop,-8.7513125
440,deep ccm,-8.1942
441,merengue urbano,-5.44476
442,classic norwegian pop,-7.33069387755
443,pub rock,-8.97886
444,memphis blues,-10.857
445,ska punk,-5.39512
446,suomi rock,-5.9383125
447,afrobeats,-5.63424
448,hyphy,-7.01548979592
449,liquid funk,-5.06012
450,swedish synthpop,-5.85184
451,chicago blues,-11.28654
452,drill,-6.07696
453,vaporwave,-10.01512
454,neue deutsche harte,-5.4864
455,louvor,-7.91644897959
456,world,-9.89597959184
457,dub,-9.3844
458,smooth jazz,-9.5673
459,drum and bass,-4.437
460,memphis hip hop,-6.29374
461,j-rock,-3.55806
462,new orleans blues,-10.34672
463,new weird america,-9.25027083333
464,german pop rock,-6.58152
465,old school hip hop,-9.35551020408
466,relaxative,-21.23404
467,trova,-10.07788
468,big band,-15.2062
