,genre,speechiness
433,turkish jazz,0.044006
434,christian hip hop,0.178228571429
435,latin jazz,0.049272
436,stoner metal,0.079374
437,experimental,0.0540291666667
438,ska,0.103848
439,french indie pop,0.0486729166667
440,deep ccm,0.033874
441,merengue urbano,0.065896
442,classic norwegian pop,0.0738897959184
443,pub rock,0.052302
444,memphis blues,0.062356
445,ska punk,0.08506
446,suomi rock,0.06230625
447,afrobeats,0.116514
448,hyphy,0.185979591837
449,liquid funk,0.072492
450,swedish synthpop,0.069326
451,chicago blues,0.051654
452,drill,0.199246
453,vaporwave,0.114504
454,neue deutsche harte,0.059274
455,louvor,0.0364244897959
456,world,0.0519816326531
457,dub,0.150012
458,smooth jazz,0.041168
459,drum and bass,0.072172
460,memphis hip hop,0.162926
461,j-rock,0.116202
462,new orleans blues,0.05818
463,new weird america,0.036525
464,german pop rock,0.076586
465,old school hip hop,0.216465306122
466,relaxative,0.045922
467,trova,0.087232
468,big band,0.062308
469,hardcore punk,0.099528
470,stomp pop,0.063034
471,bass music,0.1195
472,flamenco,0.0534127659574
473,indonesian indie,0.0509551020408
474,comedy,0.836798
475,baroque,0.0457931034483
476,viking metal,0.083782
477,russelater,0.155810204082
478,djent,0.0758595744681
479,mambo,0.055096
480,acoustic blues,0.053922
481,spanish indie pop,0.0425632653061
482,swedish metal,0.070662
483,delta blues,0.066058
484,norwegian rock,0.05408
485,deep texas country,0.0327040816327
486,gospel,0.07291
487,christian relaxative,0.0411108695652
488,doo-wop,0.063922
489,icelandic pop,0.037056
490,latin metal,0.076352
491,cowboy western,0.050554
492,piedmont blues,0.048178
493,deep swedish indie pop,0.0429617021277
494,wonky,0.149366
495,hardstyle,0.075318
496,classical period,0.0476
497,minimal tech house,0.0580285714286
498,cumbia sonidera,0.04877
499,operatic pop,0.04115
500,meditation,0.0649291666667
501,pop house,0.080456
502,dangdut,0.0337346938776
503,turkish folk,0.0502469387755
504,hands up,0.102726530612
505,deep disco house,0.057112244898
506,celtic,0.035302
507,desi,0.081524
508,shoegaze,0.042724
509,tejano,0.058068
510,boogaloo,0.049662
511,argentine reggae,0.095268
512,nwobhm,0.093308
513,deep hardstyle,0.0908428571429
514,dansband,0.0521777777778
515,indian pop,0.080764
516,danish pop rock,0.0646734693878
517,japanese r&b,0.0766142857143
518,electropowerpop,0.096056
519,gothic symphonic metal,0.101804
520,intelligent dance music,0.04496
521,healing,0.055676
522,sleep,0.0753375
