,genre,danceability
388,french rock,0.627040816327
389,post-hardcore,0.42702
390,epicore,0.340677083333
391,azontobeats,0.76124
392,zapstep,0.57808
393,deep chiptune,0.50496
394,sheffield indie,0.4746
395,uplifting trance,0.53468
396,noise rock,0.478787234043
397,progressive post-hardcore,0.41706
398,hard bop,0.48098
399,antiviral pop,0.585918367347
400,aussietronica,0.57396
401,indie punk,0.42414
402,death core,0.432083333333
403,electro latino,0.73404
404,ambient,0.20785625
405,reggae rock,0.73016
406,country blues,0.57664
407,anime,0.4645
408,deep funk,0.67196
409,new age,0.327968
410,french reggae,0.757088888889
411,j-pop,0.56572
412,groove room,0.73844
413,lovers rock,0.79162
414,deep melodic euro house,0.76088
415,death metal,0.3582
416,nu disco,0.686265306122
417,indie rockism,0.559306122449
418,electro swing,0.748530612245
419,country gospel,0.626
420,neo classical metal,0.41154
421,mexican indie,0.597346938776
422,uk garage,0.700428571429
423,gothic metal,0.4562
424,stride,0.47854
425,industrial,0.55362
426,canadian metal,0.4668
427,future funk,0.64426
428,christian uplift,0.45094
429,brazilian gospel,0.434291666667
430,german metal,0.511
431,swedish indie pop,0.56002
432,gauze pop,0.59596
433,turkish jazz,0.57014
434,christian hip hop,0.70493877551
435,latin jazz,0.61766
436,stoner metal,0.37844
437,experimental,0.452958333333
438,ska,0.57876
439,french indie pop,0.670604166667
440,deep ccm,0.42928
441,merengue urbano,0.77248
442,classic norwegian pop,0.560204081633
443,pub rock,0.53972
444,memphis blues,0.64116
445,ska punk,0.47362
446,suomi rock,0.4634375
447,afrobeats,0.77102
448,hyphy,0.787224489796
449,liquid funk,0.54948
450,swedish synthpop,0.64956
451,chicago blues,0.6244
452,drill,0.688
453,vaporwave,0.56414
454,neue deutsche harte,0.56564
455,louvor,0.407897959184
456,world,0.611163265306
457,dub,0.78556
458,smooth jazz,0.68242
459,drum and bass,0.5179
460,memphis hip hop,0.81348
461,j-rock,0.43526
462,new orleans blues,0.64906
463,new weird america,0.521854166667
464,german pop rock,0.6189
465,old school hip hop,0.818612244898
466,relaxative,0.39138
467,trova,0.57802
468,big band,0.52162
469,hardcore punk,0.35624
470,stomp pop,0.53498
471,bass music,0.58162
472,flamenco,0.578404255319
473,indonesian indie,0.582979591837
474,comedy,0.53144
475,baroque,0.357310344828
476,viking metal,0.39318
477,russelater,0.701489795918
478,djent,0.459510638298
479,mambo,0.66056
480,acoustic blues,0.60104
481,spanish indie pop,0.578183673469
482,swedish metal,0.45632
483,delta blues,0.5802
484,norwegian rock,0.46228
485,deep texas country,0.550428571429
486,gospel,0.43118
487,christian relaxative,0.462739130435
488,doo-wop,0.53142
489,icelandic pop,0.431336
490,latin metal,0.4811
491,cowboy western,0.63612
492,piedmont blues,0.56452
493,deep swedish indie pop,0.533510638298
494,wonky,0.58412
495,hardstyle,0.52986
496,classical period,0.2964
497,minimal tech house,0.767673469388
498,cumbia sonidera,0.69452
499,operatic pop,0.30244
500,meditation,0.14106875
501,pop house,0.69006
502,dangdut,0.544
503,turkish folk,0.552326530612
504,hands up,0.655285714286
505,deep disco house,0.792326530612
506,celtic,0.37422
507,desi,0.67766
508,shoegaze,0.43132
509,tejano,0.63582
510,boogaloo,0.66112
511,argentine reggae,0.74498
512,nwobhm,0.32236
513,deep hardstyle,0.486020408163
514,dansband,0.590155555556
515,indian pop,0.6785
516,danish pop rock,0.586918367347
517,japanese r&b,0.592244897959
518,electropowerpop,0.57768
519,gothic symphonic metal,0.46724
520,intelligent dance music,0.55758
521,healing,0.220106
522,sleep,0.134353125
523,finnish hip hop,0.6735
524,desi hip hop,0.67187755102
525,schlager,0.552714285714
526,melbourne bounce,0.74
527,contemporary jazz,0.44166
528,drone,0.194384
529,symphonic metal,0.43284
530,spanish punk,0.479408163265
531,filthstep,0.61792
532,louisiana blues,0.6282
533,children's music,0.691591836735
534,cubaton,0.747040816327
535,velha guarda,0.57256
536,electroclash,0.662734693878
537,jangle pop,0.55754
538,brazilian indie,0.640469387755
539,chicano rap,0.758183673469
540,spanish hip hop,0.687591836735
541,uk drill,0.66866
542,folk punk,0.50774
543,k-hop,0.70674
544,retro electro,0.525285714286
545,alternative r&b,0.58576
546,afrobeat,0.62778
547,polish pop,0.612510204082
548,opera,0.287225
549,british folk,0.529325581395
550,nu-cumbia,0.63602
551,a cappella,0.551489795918
552,j-dance,0.606775510204
553,alternative pop rock,0.5633
554,j-rap,0.669571428571
555,boston rock,0.511702
556,future garage,0.635020408163
557,crossover thrash,0.3425
558,mathcore,0.40698
