,genre,tempo
613,kiwi rock,115.51984
614,alternative pop,128.30368
615,grave wave,128.16358
616,swamp blues,119.87976
617,electro jazz,109.58276
618,rock steady,117.274
619,slow game,117.36034
620,j-metal,137.16458
621,post-metal,119.589142857
622,techno,122.12754
623,no wave,127.9025
624,russian pop,123.14732
625,stomp and flutter,123.8094
626,portland indie,112.520836735
627,dutch rock,121.159734694
628,doom metal,122.92002
629,modern performance,113.93308
630,pagan black metal,118.5689375
631,black metal,123.2982
632,jump up,152.29586
633,pop flamenco,120.457102041
634,hard alternative,131.8304
635,christian metal,134.76772
636,kirtan,109.7382
637,neurofunk,153.13536
638,polish hip hop,119.555469388
639,drift,98.9657
640,dark jazz,109.93934
641,peruvian rock,119.937
642,deathgrind,119.44444
643,italian indie pop,138.26138
644,ectofolk,121.65144
645,symphonic black metal,120.64704
646,classic italian pop,119.15832
647,turkish hip hop,115.1398125
648,cuban rumba,111.68722
649,brega,113.636
650,deep norteno,114.877979592
651,happy hardcore,161.96826
652,carnaval,126.576489362
653,belgian rock,121.29006
654,chicago house,121.1551
655,medieval rock,128.579204082
656,irish folk,120.313266667
657,jungle,154.49238
658,chamame,125.9191
659,scottish rock,130.74142
660,rap chileno,97.32584
661,classic chinese pop,121.49614
662,dark wave,127.44558
663,progressive uplifting trance,133.040022222
664,orgcore,144.729844444
665,austindie,116.32924
666,idol,125.60826
667,chicago indie,119.7267
668,medieval,110.47514
669,avant-garde jazz,108.62282
670,eurovision,121.529591837
671,bay area indie,119.91606
672,romantico,119.67376
673,western swing,117.68852
674,russian rock,119.24748
675,japanese city pop,129.46626
676,new orleans jazz,114.70552
677,j-idol,126.09098
678,italian disco,123.47314
679,harmonica blues,113.93598
680,arab pop,113.81742
681,puerto rican rock,117.971918367
682,dubstep,140.08266
683,classic finnish pop,128.701866667
684,malaysian pop,117.923489796
685,outsider house,117.10232
686,mexican rock-and-roll,114.25592
687,portuguese rock,111.227122449
688,post-doom metal,126.23072
689,colombian rock,113.86426
690,sertanejo tradicional,117.844612245
691,brutal death metal,125.43102
692,soul flow,119.95384
693,salsa international,116.958795918
694,seattle indie,116.40528
695,avantgarde metal,118.3657
696,hardcore,135.50332
697,nasheed,123.726102041
698,gbvfi,127.72004
699,psychedelic doom,121.47936
700,celtic punk,133.65302
701,grindcore,123.672367347
702,quebecois,112.12318
703,austropop,133.899
704,brazilian ccm,113.169367347
705,funky tech house,124.06792
706,riddim,111.529326531
707,psychedelic trance,135.26712
708,speed garage,125.401916667
709,baile funk,126.746530612
710,classic russian rock,118.642795918
711,freestyle,119.766659574
712,j-poprock,126.88068
713,italian pop rock,124.811
714,ebm,130.97794
715,math pop,126.16114
716,barnmusik,116.934387755
717,spanish noise pop,130.6524375
718,warm drone,96.9026938776
719,soca,121.64758
720,nursery,121.70242
721,ethereal wave,118.99086
722,nintendocore,131.49806
723,african gospel,121.74966
724,garage pop,134.4647
725,world meditation,86.6555
726,destroy techno,123.68614
727,balearic,118.671020408
728,progressive deathcore,129.98512
729,math rock,123.2305
730,laiko,116.95212
731,acid house,120.911183673
732,albuquerque indie,119.44566
733,mande pop,112.90078
734,polish punk,122.777458333
735,russiavision,119.7471
736,deep latin christian,124.21882
737,indie dream pop,117.32766
738,kindermusik,116.576318182
739,emo punk,139.577292683
740,entehno,117.02132
741,bassline,129.51914
742,k-indie,111.04484
743,classic finnish rock,129.897979167
744,substep,135.52108
745,electrofox,108.80198
746,drill and bass,119.560408163
747,turbo folk,119.709693878
748,british alternative rock,130.79686
749,ambeat,102.72928
750,ska revival,133.847122449
751,deep minimal techno,124.426755556
752,bmore,132.754285714
753,british indie rock,137.42924
754,canterbury scene,119.68058
755,musica para ninos,120.81234
756,romanian pop,117.23404
757,chill lounge,111.741040816
758,rock catala,127.421893617
759,free jazz,118.16324
760,argentine indie,119.918571429
761,deep comedy,97.37726
762,twee pop,123.83934
763,classic garage rock,125.081959184
764,volksmusik,128.13626087
765,post-post-hardcore,130.388
766,electro-industrial,132.4101
767,gypsy jazz,123.65326
768,oi,133.38274
769,latin electronica,112.40358
770,straight edge,135.48994
771,christian hardcore,133.04116
772,kabarett,107.400276596
773,kraut rock,106.19082
774,steampunk,129.44232
775,singaporean pop,122.322857143
776,swedish hard rock,131.341061224
777,world fusion,125.13804
778,slovak pop,123.134040816
779,dansktop,115.666673469
780,surf music,133.1298
781,thai idol,122.89636
782,gabba,148.441166667
783,gothic rock,132.42577551
784,chaotic hardcore,122.62132
785,nu age,105.69568
786,bhangra,116.51482
787,canzone napoletana,110.01986
788,retro metal,125.787326531
789,cello,116.93784
790,mandible,106.0942
791,ballroom,116.50438
792,ye ye,114.15104
793,tango,116.144469388
794,swedish jazz,109.854265306
795,dixieland,109.55632
796,old-time,126.364083333
797,laboratorio,106.802387755
798,mashup,123.934428571
799,christelijk,114.113521739
800,freakbeat,126.4094
801,punjabi,116.818795918
802,alternative roots rock,123.22846
803,futurepop,129.89302
804,vancouver indie,120.51286
805,christian punk,134.29404
806,choro,109.52808
807,african rock,131.3524
808,deep talent show,126.63102
809,e6fi,126.4557
810,drone metal,115.21344898
811,nordic house,131.99322449
812,electro bailando,122.84146
813,early music,102.66682
814,psychobilly,132.33634
815,hawaiian,114.9563
816,horror punk,131.24444
817,andean,110.288
818,russian hip hop,118.693020408
819,detroit techno,122.556102041
820,progressive psytrance,135.229959184
821,comedy rock,126.14722449
822,thai pop,120.19024
823,psychill,126.910244898
824,orchestral,104.8008
825,tribal house,124.838229167
826,atmospheric black metal,124.60788
827,progressive trance house,125.3518125
828,deep indian pop,118.257591837
829,jazz trio,112.21514
830,classical performance,95.53712
831,persian pop,117.81456
832,fado,106.02942
833,classical piano,98.4144761905
834,uk hip hop,114.359122449
835,voidgaze,123.85586
836,danish hip hop,119.127918367
837,zouk riddim,139.82128
838,israeli rock,117.37614
839,czech rock,133.423959184
840,swedish reggae,124.825829787
841,exotica,124.07194
842,praise,114.29392
843,theme,111.81202
844,hungarian rock,131.97766
845,athens indie,121.33332
846,neo-trad metal,131.64448
847,dub techno,122.764673469
848,norwegian metal,124.82855102
849,venezuelan rock,124.63802
850,choral,94.4109130435
851,aggrotech,129.48312
852,neo-progressive,123.406979592
853,turkish alternative,125.685583333
854,hungarian pop,127.558886364
855,classic colombian pop,117.94388
856,kizomba,125.01274
857,avant-garde,91.39914
