,genre,valence
520,intelligent dance music,0.32839
521,healing,0.102774
522,sleep,0.019760625
523,finnish hip hop,0.53962
524,desi hip hop,0.626420408163
525,schlager,0.607428571429
526,melbourne bounce,0.45091
527,contemporary jazz,0.207586
528,drone,0.077352
529,symphonic metal,0.324544
530,spanish punk,0.475979591837
531,filthstep,0.310408
532,louisiana blues,0.64612
533,children's music,0.688897959184
534,cubaton,0.801714285714
535,velha guarda,0.59062
536,electroclash,0.503140816327
537,jangle pop,0.661212
538,brazilian indie,0.616224489796
539,chicano rap,0.465987755102
540,spanish hip hop,0.679
541,uk drill,0.50812
542,folk punk,0.60042
543,k-hop,0.526808
544,retro electro,0.314279591837
545,alternative r&b,0.438384
546,afrobeat,0.711676
547,polish pop,0.463036734694
548,opera,0.270995
549,british folk,0.498413953488
550,nu-cumbia,0.58008
551,a cappella,0.473775510204
552,j-dance,0.633040816327
553,alternative pop rock,0.508812
554,j-rap,0.527181632653
555,boston rock,0.489982
556,future garage,0.382559183673
557,crossover thrash,0.402794
558,mathcore,0.232034
559,classic danish pop,0.527395918367
560,german indie,0.50992
561,glitch,0.31039
562,coverchill,0.47147
563,jazz metal,0.359878
564,environmental,0.0294217948718
565,reading,0.537708333333
566,filmi,0.61012
567,rumba,0.559285416667
568,azonto,0.776204081633
569,levenslied,0.539636734694
570,polynesian pop,0.75176
571,glitch hop,0.325646938776
572,melodipop,0.431333333333
573,arabesk,0.597020408163
574,zolo,0.76114
575,northern soul,0.73914
576,underground rap,0.53668
577,spanish new wave,0.69736
578,vapor pop,0.313486363636
579,brazilian punk,0.45152
580,piano blues,0.64548
581,abstract hip hop,0.514918367347
582,deep turkish pop,0.61472
583,christian dance,0.600048
584,neoclassical,0.122306
585,norwegian hip hop,0.427296
586,liedermacher,0.59334
587,discofox,0.709722916667
588,australian hip hop,0.5441
589,folk metal,0.330152
590,canadian country,0.559630434783
591,strut,0.625916666667
592,breakbeat,0.319888
593,sludge metal,0.340132
594,italo dance,0.635102040816
595,bluegrass,0.5394
596,new tribe,0.361552
597,neo-singer-songwriter,0.323018
598,finnish metal,0.382474468085
599,danseband,0.650282608696
600,fluxwork,0.312469387755
601,hardcore techno,0.34527
602,jump blues,0.77436
603,welsh rock,0.40157755102
604,technical death metal,0.222191836735
605,german punk,0.534265306122
606,fingerstyle,0.298006122449
607,float house,0.419289795918
608,sleaze rock,0.4342
609,australian country,0.56168
610,deep uplifting trance,0.293742857143
611,alternative ccm,0.251235416667
612,folklore argentino,0.399312
613,kiwi rock,0.55484
614,alternative pop,0.55028
615,grave wave,0.379312
616,swamp blues,0.65304
617,electro jazz,0.578776
618,rock steady,0.79528
619,slow game,0.48431
620,j-metal,0.43198
621,post-metal,0.17587755102
622,techno,0.337924
623,no wave,0.591278
624,russian pop,0.480782
625,stomp and flutter,0.315954
626,portland indie,0.504163265306
627,dutch rock,0.45763877551
628,doom metal,0.360578
629,modern performance,0.090274
630,pagan black metal,0.165979166667
631,black metal,0.17568
632,jump up,0.279612
633,pop flamenco,0.695469387755
634,hard alternative,0.466456
635,christian metal,0.25438
636,kirtan,0.176778
637,neurofunk,0.238778
638,polish hip hop,0.487248979592
639,drift,0.068132
640,dark jazz,0.238172
641,peruvian rock,0.72344
642,deathgrind,0.203764
643,italian indie pop,0.701168
644,ectofolk,0.430586
645,symphonic black metal,0.189646
646,classic italian pop,0.464136
647,turkish hip hop,0.536604166667
648,cuban rumba,0.8076
649,brega,0.634346938776
650,deep norteno,0.774775510204
651,happy hardcore,0.437176
652,carnaval,0.695212765957
653,belgian rock,0.438492
654,chicago house,0.43126
655,medieval rock,0.46222244898
656,irish folk,0.596
657,jungle,0.334882
658,chamame,0.72692
659,scottish rock,0.508556
660,rap chileno,0.71488
