,genre,acousticness
497,minimal tech house,0.0745586953061
498,cumbia sonidera,0.2392486
499,operatic pop,0.79318
500,meditation,0.545941
501,pop house,0.0822101
502,dangdut,0.389774081633
503,turkish folk,0.445563265306
504,hands up,0.087171244898
505,deep disco house,0.0598989918367
506,celtic,0.83268
507,desi,0.2342066
508,shoegaze,0.22675035
509,tejano,0.318314
510,boogaloo,0.474964
511,argentine reggae,0.2116446
512,nwobhm,0.015379312
513,deep hardstyle,0.0357148163265
514,dansband,0.225799111111
515,indian pop,0.2206606
516,danish pop rock,0.297344208163
517,japanese r&b,0.1547233
518,electropowerpop,0.045912546
519,gothic symphonic metal,0.0448797144
520,intelligent dance music,0.265355132
521,healing,0.877354
522,sleep,0.352586982
523,finnish hip hop,0.22502188
524,desi hip hop,0.25489755102
525,schlager,0.330051836735
526,melbourne bounce,0.03045758
527,contemporary jazz,0.765416
528,drone,0.815588
529,symphonic metal,0.018274758
530,spanish punk,0.0872386430612
531,filthstep,0.03088936
532,louisiana blues,0.5911954
533,children's music,0.276386791837
534,cubaton,0.289260816327
535,velha guarda,0.614568
536,electroclash,0.0944430289796
537,jangle pop,0.13515287
538,brazilian indie,0.467154693878
539,chicano rap,0.203208816327
540,spanish hip hop,0.311789795918
541,uk drill,0.236668
542,folk punk,0.318231228
543,k-hop,0.1684626
544,retro electro,0.0685572973469
545,alternative r&b,0.22538632
546,afrobeat,0.1826399
547,polish pop,0.274156530612
548,opera,0.86505
549,british folk,0.549606744186
550,nu-cumbia,0.26996
551,a cappella,0.379041632653
552,j-dance,0.107539716327
553,alternative pop rock,0.126938146
554,j-rap,0.165140632653
555,boston rock,0.11040615
556,future garage,0.218423061224
557,crossover thrash,0.0392733168
558,mathcore,0.0014399044
559,classic danish pop,0.171966189796
560,german indie,0.25136622
561,glitch,0.170329816
562,coverchill,0.54742
563,jazz metal,0.0125439142
564,environmental,0.322067276667
565,reading,0.6244375
566,filmi,0.3028252
567,rumba,0.627397916667
568,azonto,0.19279
569,levenslied,0.257357081633
570,polynesian pop,0.233434
571,glitch hop,0.0527292857143
572,melodipop,0.264912083333
573,arabesk,0.259609734694
574,zolo,0.1200214
575,northern soul,0.498054
576,underground rap,0.26125048
577,spanish new wave,0.24287108
578,vapor pop,0.32681805
579,brazilian punk,0.062653577
